ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_longum_16_length_166099_cov_82.678423_60_tetO	1920	4565	tet(O)	99.22	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Bifidobacterium longum
Bifidobacterium_longum_629_length_12593_cov_197.585261_4_dfrA14	474	1018	dfrA14	100.0	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Bifidobacterium longum
Bifidobacterium_longum_629_length_12593_cov_197.585261_10_sul2	816	976	sul2	100.0	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	100.00	Bifidobacterium longum
Bifidobacterium_longum_629_length_12593_cov_197.585261_12_APH6Id	837	1606	APH(6)-Id	99.28	aminoglycoside antibiotic	antibiotic inactivation	APH(6)	100.00	Bifidobacterium longum
Bifidobacterium_longum_629_length_12593_cov_197.585261_13_TEM1	861	1800	TEM-1	100.0	monobactam; cephalosporin; penam; penem	antibiotic inactivation	TEM beta-lactamase	100.00	Bifidobacterium longum
Megasphaera_sp900540735_689_length_1013_cov_53.633612_1_CfxA6	936	271	CfxA6	98.72	cephamycin	antibiotic inactivation	CfxA beta-lactamase	94.26	Megasphaera sp900540735
Streptococcus_sp000187445_1_length_275207_cov_63.201750_122_leuO	945	1105	leuO	99.36	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_2_length_254618_cov_50.809980_222_marA	384	399	marA	100.0	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_3_length_254394_cov_61.440758_166_rsmA	186	343	rsmA	85.25	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_3_length_254394_cov_61.440758_171_emrB	1539	1546	emrB	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_3_length_254394_cov_61.440758_172_emrA	1173	1137	emrA	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_3_length_254394_cov_61.440758_173_emrR	531	592	emrR	99.43	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_4_length_222050_cov_62.109435_4_bacA	822	870	bacA	99.63	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_4_length_222050_cov_62.109435_25_TolC	1489	1910	TolC	100.0	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	99.60	Streptococcus sp000187445
Streptococcus_sp000187445_5_length_216745_cov_53.832170_108_msbA	1749	2081	msbA	100.0	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_5_length_216745_cov_53.832170_179_Escherichia_coli_mdfA	1233	1061	Escherichia coli mdfA	97.07	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_6_length_199134_cov_55.984207_121_acrD	3114	3008	acrD	99.9	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_7_length_187542_cov_56.870364_36_Escherichia_coli_acrA	1194	1723	Escherichia coli acrA	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_7_length_187542_cov_56.870364_37_acrB	3150	3429	acrB	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_8_length_163223_cov_65.405557_34_CRP	633	978	CRP	99.52	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_9_length_138360_cov_54.472196_28_YojI	1644	1355	YojI	100.0	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_10_length_133001_cov_55.527244_19_PmrF	969	764	PmrF	100.0	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_10_length_133001_cov_55.527244_115_emrY	1539	1844	emrY	100.0	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_10_length_133001_cov_55.527244_117_evgA	615	830	evgA	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Streptococcus sp000187445
