ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_breve_6_79_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	39097	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.48	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium breve
Bifidobacterium_longum_71_10_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	39049	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.31	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium longum
Bifidobacterium_longum_109_63_ErmX	855	3066	ErmX	90.14	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100	Bifidobacterium longum
Clostridium_P_perfringens_2_67_vanW_gene_in_vanI_cluster	1563	146	vanW gene in vanI cluster	26.72	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	139.41	Clostridium P perfringens
Clostridium_P_perfringens_2_130_vanY_gene_in_vanB_cluster	792	67	vanY gene in vanB cluster	31.32	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	98.13	Clostridium P perfringens
Clostridium_P_perfringens_4_34_LnuP	501	34	LnuP	100	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)	100	Clostridium P perfringens
Clostridium_P_perfringens_29_7_vanW_gene_in_vanI_cluster	1263	82	vanW gene in vanI cluster	29.96	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	112.6	Clostridium P perfringens
Clostridium_P_perfringens_34_20_Clostridium_perfringens_mprF	1710	121	Clostridium perfringens mprF	98.59	peptide antibiotic	antibiotic target alteration	defensin resistant mprF	100	Clostridium P perfringens
Clostridium_P_perfringens_44_7_vanH_gene_in_vanD_cluster	999	81	vanH gene in vanD cluster	35.44	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	102.79	Clostridium P perfringens
Clostridium_P_perfringens_50_6_vanT_gene_in_vanG_cluster	1161	134	vanT gene in vanG cluster	37.33	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.21	Clostridium P perfringens
Clostridium_P_perfringens_110_6_ErmQ	774	72	ErmQ	100	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100	Clostridium P perfringens
Cutibacterium_avidum_3_189_vanT_gene_in_vanG_cluster	1128	1702	vanT gene in vanG cluster	32.05	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.67	Cutibacterium avidum
Enterococcus_faecalis_6_8_lsaA	1497	102	lsaA	99.6	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100	Enterococcus faecalis
Enterococcus_faecalis_12_2_efrA	1719	125	efrA	99.65	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.48	Enterococcus faecalis
Enterococcus_faecalis_22_8_emeA	1155	163	emeA	97.71	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.71	Enterococcus faecalis
