ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_bifidum_7_length_55005_cov_10.759108_1_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3390	1022	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	91.37	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	95.19	Bifidobacterium bifidum
Bifidobacterium_sp002742445_6_length_134053_cov_31.200473_34_Lactobacillus_reuteri_catTC	651	755	Lactobacillus reuteri cat-TC	98.05	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)	90.76	Bifidobacterium sp002742445
Bifidobacterium_sp002742445_10_length_89242_cov_26.965443_21_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3561	2058	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	98.15	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.00	Bifidobacterium sp002742445
Campylobacter_101_length_5500_cov_4.009734_6_OXA471	810	49	OXA-471	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	100.00	Campylobacter
Escherichia_flexneri_4_length_83013_cov_9.750898_20_mdtG	1227	308	mdtG	100.0	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_4_length_83013_cov_9.750898_32_mdtH	1209	232	mdtH	99.75	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_6_length_77182_cov_10.265419_67_rsmA	186	78	rsmA	85.25	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_6_length_77182_cov_10.265419_72_emrB	1539	331	emrB	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_6_length_77182_cov_10.265419_73_emrA	1173	232	emrA	99.74	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_6_length_77182_cov_10.265419_74_emrR	531	91	emrR	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
