ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_longum_1_length_501089_cov_135.729609:_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	9944	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.65	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium longum
Enterococcus_A_avium_4_length_158978_cov_38.981838:_tetM	1920	1318	tet(M)	96.56	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Enterococcus A avium
Enterococcus_A_avium_46_length_32754_cov_39.539217:_ANT9Ia	783	684	ANT(9)-Ia	100.0	aminoglycoside antibiotic	antibiotic inactivation	ANT(9)	100.00	Enterococcus A avium
Enterococcus_A_avium_46_length_32754_cov_39.539217:_ErmA	732	562	ErmA	100.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Enterococcus A avium
Enterococcus_A_avium_50_length_29348_cov_39.760206:_vanT_gene_in_vanG_cluster	1128	992	vanT gene in vanG cluster	33.6	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.67	Enterococcus A avium
Enterococcus_A_avium_64_length_20012_cov_36.900426:_vanY_gene_in_vanB_cluster	783	610	vanY gene in vanB cluster	33.01	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	97.01	Enterococcus A avium
Enterococcus_faecalis_1_length_939411_cov_53.849015:_emeA	1155	967	emeA	97.71	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.71	Enterococcus faecalis
Enterococcus_faecalis_1_length_939411_cov_53.849015:_dfrE	495	514	dfrE	98.78	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus faecalis
Enterococcus_faecalis_2_length_455308_cov_58.266063:_lsaA	1497	1354	lsaA	98.19	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100.00	Enterococcus faecalis
Enterococcus_faecalis_4_length_284625_cov_57.153939:_vanT_gene_in_vanG_cluster	1116	1230	vanT gene in vanG cluster	34.24	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	Enterococcus faecalis
