ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Streptococcus_sp000187445_2_length_316582_cov_822.342081_ErmB	738	7322	ErmB	99.18	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	98.79	Streptococcus sp000187445
Streptococcus_sp000187445_2_length_316582_cov_822.342081_tetM	1920	24102	tetM	98.9	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Streptococcus sp000187445
NODE_4_length_291227_76_PmrF	969	943	PmrF	99.38	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	unclassified
NODE_4_length_291227_121_YojI	1644	1272	YojI	99.63	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	unclassified
NODE_4_length_291227_248_baeR	723	670	baeR	100.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_4_length_291227_249_baeS	1404	1272	baeS	97.64	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_4_length_291227_251_mdtC	3078	2383	mdtC	99.32	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_4_length_291227_252_mdtB	3123	2426	mdtB	99.71	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_4_length_291227_253_mdtA	1368	1224	mdtA	98.31	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	109.64	unclassified
NODE_5_length_262634_243_rsmA	186	432	rsmA	85.25	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_7_length_214332_32_mdtM	1233	2066	mdtM	100.0	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_8_length_201757_68_kdpE	678	752	kdpE	100.0	aminoglycoside antibiotic	antibiotic efflux	kdpDE	100.00	unclassified
NODE_10_length_193969_84_Escherichia_coli_ampH_betalactamase	1158	1887	Escherichia coli ampH beta-lactamase	100.0	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase	100.00	unclassified
NODE_10_length_193969_170_acrB	3150	5163	acrB	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_10_length_193969_171_Escherichia_coli_acrA	1194	2216	Escherichia coli acrA	99.75	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_13_length_170054_20_mdtG	1227	1330	mdtG	100.0	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_13_length_170054_32_mdtH	1209	1135	mdtH	99.5	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_15_length_153946_28_EC19	1134	2658	EC-19	99.73	cephalosporin	antibiotic inactivation	EC beta-lactamase	100.00	unclassified
NODE_16_length_150670_142_AcrS	663	1387	AcrS	98.18	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_16_length_150670_143_AcrE	1158	2213	AcrE	99.22	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_16_length_150670_144_AcrF	3105	5850	AcrF	99.32	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
