ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_bifidum_23_length_173796_cov_267.526514:_vanY_gene_in_vanB_cluster	750	2691	vanY gene in vanB cluster	47.3	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	92.91	Bifidobacterium bifidum
Bifidobacterium_bifidum_44_length_144799_cov_337.965111:_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3684	28096	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	91.3	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	103.46	Bifidobacterium bifidum
Bifidobacterium_bifidum_325_length_36762_cov_313.060561:_Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin	3327	24368	Bifidobacterium bifidum ileS conferring resistance to mupirocin	99.46	mupirocin-like antibiotic	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	100.09	Bifidobacterium bifidum
Bifidobacterium_bifidum_1959_length_3091_cov_105.512516:_sul2	816	1109	sul2	99.63	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	100.00	Bifidobacterium bifidum
Bifidobacterium_bifidum_1959_length_3091_cov_105.512516:_APH3Ib	804	1240	APH(3'')-Ib	99.63	aminoglycoside antibiotic	antibiotic inactivation	APH(3'')	100.00	Bifidobacterium bifidum
Bifidobacterium_bifidum_1959_length_3091_cov_105.512516:_APH6Id	837	1167	APH(6)-Id	99.64	aminoglycoside antibiotic	antibiotic inactivation	APH(6)	100.00	Bifidobacterium bifidum
Bifidobacterium_breve_3_length_135438_cov_152.071431:_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	27679	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.48	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium breve
Bifidobacterium_breve_4_length_134701_cov_148.226601:_tetW	1080	2871	tet(W)	99.44	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	56.18	Bifidobacterium breve
Bifidobacterium_breve_7_length_118849_cov_155.971449:_tetW	819	4323	tet(W)	100.0	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	42.57	Bifidobacterium breve
Bifidobacterium_longum_38_length_18420_cov_80.588344:_qacEdelta1	348	564	qacEdelta1	100.0	disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Bifidobacterium longum
Bifidobacterium_longum_38_length_18420_cov_80.588344:_sul1	840	1285	sul1	100.0	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	100.00	Bifidobacterium longum
Bifidobacterium_longum_38_length_18420_cov_80.588344:_tetA	1200	2066	tet(A)	98.48	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	94.10	Bifidobacterium longum
Cutibacterium_avidum_1_length_718670_cov_7.352229:_vanT_gene_in_vanG_cluster	1128	159	vanT gene in vanG cluster	32.6	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.67	Cutibacterium avidum
Enterococcus_A_12_length_90862_cov_11.745035:_vanY_gene_in_vanB_cluster	783	194	vanY gene in vanB cluster	33.98	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	97.01	Enterococcus A
Enterococcus_A_79_length_11344_cov_9.869886:_vanT_gene_in_vanN_cluster	1041	258	vanT gene in vanN cluster	50.73	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	49.43	Enterococcus A
Enterococcus_A_79_length_11344_cov_9.869886:_vanT_gene_in_vanC_cluster	885	139	vanT gene in vanC cluster	42.41	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	42.12	Enterococcus A
Enterococcus_A_79_length_11344_cov_9.869886:_vanXY_gene_in_vanL_cluster	579	112	vanXY gene in vanL cluster	52.94	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY	99.48	Enterococcus A
Enterococcus_A_79_length_11344_cov_9.869886:_vanN	1062	180	vanN	57.14	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	102.92	Enterococcus A
Enterococcus_B_faecium_11_length_93346_cov_8.808875:_vanY_gene_in_vanB_cluster	861	138	vanY gene in vanB cluster	34.9	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	106.72	Enterococcus B faecium
Enterococcus_B_faecium_15_length_79242_cov_9.821171:_AAC6Ii	549	78	AAC(6')-Ii	99.45	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	100.00	Enterococcus B faecium
Enterococcus_B_faecium_17_length_66552_cov_9.989951:_efmA	1287	253	efmA	99.77	macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterococcus B faecium
Enterococcus_B_faecium_19_length_42294_cov_9.740040:_efrA	1731	345	efrA	82.47	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.17	Enterococcus B faecium
