ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Anaerostipes_hadrus_4_length_136134_cov_211.047120:_vanT_gene_in_vanG_cluster	1164	4955	vanT gene in vanG cluster	38.75	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.35	Anaerostipes hadrus
Anaerostipes_hadrus_8_length_104662_cov_286.881369:_vanW_gene_in_vanI_cluster	1497	8277	vanW gene in vanI cluster	24.51	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	133.51	Anaerostipes hadrus
Anaerostipes_hadrus_8_length_104662_cov_286.881369:_vanG	1062	5978	vanG	40.97	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	101.15	Anaerostipes hadrus
Anaerostipes_hadrus_15_length_70961_cov_281.607133:_tetT	2643	14638	tet(T)	34.07	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	135.18	Anaerostipes hadrus
Anaerostipes_hadrus_39_length_22337_cov_269.274843:_tetO	1920	9840	tet(O)	98.12	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Anaerostipes hadrus
Clostridium_paraputrificum_6_length_195260_cov_11.497141:_vanY_gene_in_vanF_cluster	861	206	vanY gene in vanF cluster	34.89	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	97.61	Clostridium paraputrificum
Clostridium_paraputrificum_9_length_183097_cov_13.919255:_vanW_gene_in_vanI_cluster	1440	488	vanW gene in vanI cluster	26.82	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	128.42	Clostridium paraputrificum
Clostridium_paraputrificum_15_length_71813_cov_11.338672:_ErmQ	774	150	ErmQ	100.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Clostridium paraputrificum
Clostridium_paraputrificum_16_length_63768_cov_11.816834:_vanT_gene_in_vanG_cluster	1161	369	vanT gene in vanG cluster	34.6	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.21	Clostridium paraputrificum
Clostridium_paraputrificum_21_length_37512_cov_12.014559:_nimE	477	252	nimE	55.06	nitroimidazole antibiotic	antibiotic inactivation	nitroimidazole reductase	92.94	Clostridium paraputrificum
Enterococcus_faecalis_1_length_840031_cov_72.845660:_dfrE	495	829	dfrE	97.56	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus faecalis
Enterococcus_faecalis_2_length_314301_cov_83.053261:_vanT_gene_in_vanG_cluster	1116	2168	vanT gene in vanG cluster	34.24	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	Enterococcus faecalis
Enterococcus_faecalis_3_length_199934_cov_76.378701:_emeA	1155	1633	emeA	97.71	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.71	Enterococcus faecalis
Enterococcus_faecalis_6_length_160706_cov_107.585025:_tetM	1920	6142	tet(M)	98.9	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Enterococcus faecalis
Enterococcus_faecalis_9_length_113693_cov_86.357027:_vanY_gene_in_vanB_cluster	711	1143	vanY gene in vanB cluster	51.5	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	88.06	Enterococcus faecalis
Enterococcus_faecalis_9_length_113693_cov_86.357027:_lsaA	1497	2501	lsaA	99.6	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100.00	Enterococcus faecalis
Enterococcus_faecalis_10_length_77334_cov_85.450729:_efrA	1719	3166	efrA	99.65	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.48	Enterococcus faecalis
Haemophilus_D_7_length_123600_cov_7.419420:_Klebsiella_pneumoniae_KpnH	1527	267	Klebsiella pneumoniae KpnH	69.88	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	99.22	Haemophilus D
Haemophilus_D_9_length_96168_cov_7.345495:_qacG	330	68	qacG	42.57	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	101.87	Haemophilus D
Haemophilus_D_4_length_186151_cov_5.718601:_Haemophilus_influenzae_PBP3_conferring_resistance_to_betalactam_antibiotics	1821	261	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	82.3	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	99.34	Haemophilus D
Haemophilus_D_10_length_61354_cov_7.664164:_Escherichia_coli_EFTu_mutants_conferring_resistance_to_Pulvomycin	1185	5655	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	92.62	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	96.33	Haemophilus D
Pseudomonas_aeruginosa_17_length_22486_cov_3.430407:_OXA488	789	51	OXA-488	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	100.00	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_23_length_20978_cov_3.094876:_Pseudomonas_aeruginosa_CpxR	678	86	Pseudomonas aeruginosa CpxR	100.0	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Pseudomonas aeruginosa
Pseudomonas_aeruginosa_31_length_18451_cov_3.292859:_MexV	1131	63	MexV	98.94	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Pseudomonas aeruginosa
