ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Clostridioides_difficile_4_length_469318_cov_46.700051:_vanG	1101	712	vanG	67.03	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.87	Clostridioides difficile
Clostridioides_difficile_4_length_469318_cov_46.700051:_vanXY_gene_in_vanG_cluster	807	794	vanXY gene in vanG cluster	58.82	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY	105.51	Clostridioides difficile
Clostridioides_difficile_4_length_469318_cov_46.700051:_vanT_gene_in_vanG_cluster	2139	1332	vanT gene in vanG cluster	61.38	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	100.00	Clostridioides difficile
Clostridioides_difficile_5_length_450252_cov_51.614400:_vanW_gene_in_vanI_cluster	1470	967	vanW gene in vanI cluster	33.76	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	131.10	Clostridioides difficile
Clostridioides_difficile_10_length_327286_cov_47.552500:_vanW_gene_in_vanI_cluster	1260	827	vanW gene in vanI cluster	27.39	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	112.33	Clostridioides difficile
Clostridioides_difficile_14_length_289301_cov_51.300080:_vanY_gene_in_vanF_cluster	648	559	vanY gene in vanF cluster	38.62	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	73.38	Clostridioides difficile
Clostridioides_difficile_52_length_140696_cov_66.199145:_vanT_gene_in_vanG_cluster	1158	1030	vanT gene in vanG cluster	34.78	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.07	Clostridioides difficile
Clostridioides_difficile_60_length_131184_cov_48.931586:_cdeA	1326	858	cdeA	99.32	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100.00	Clostridioides difficile
Clostridioides_difficile_65_length_128997_cov_66.904089:_vanY_gene_in_vanG_cluster	717	658	vanY gene in vanG cluster	34.04	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	85.30	Clostridioides difficile
Clostridioides_difficile_71_length_125574_cov_62.110684:_CDD1	954	842	CDD-1	95.58	carbapenem	antibiotic inactivation	CDD beta-lactamase	101.60	Clostridioides difficile
