ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_kashiwanohense_A_4_length_245499_cov_26.757061_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3561	2802	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	98.06	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.00	Bifidobacterium kashiwanohense A
Clostridium_P_perfringens_179_length_33499_cov_13.878962_Clostridium_perfringens_mprF	1710	414	Clostridium perfringens mprF	100.0	peptide antibiotic	antibiotic target alteration	defensin resistant mprF	100.00	Clostridium P perfringens
Escherichia_coli_1_length_406227_cov_37.320229_PmrF	969	636	PmrF	99.07	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia coli
Escherichia_coli_1_length_406227_cov_37.320229_YojI	1644	1225	YojI	99.09	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_1_length_406227_cov_37.320229_baeR	723	500	baeR	100.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_1_length_406227_cov_37.320229_baeS	1404	1096	baeS	95.93	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_1_length_406227_cov_37.320229_mdtC	3078	2006	mdtC	98.73	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_1_length_406227_cov_37.320229_mdtB	3123	2346	mdtB	99.81	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_1_length_406227_cov_37.320229_mdtA	1248	864	mdtA	98.55	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_1_length_406227_cov_37.320229_ugd	1167	1060	ugd	99.23	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia coli
