ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_breve_2_length_295547_cov_153.729170:_ErmX	855	2410	ErmX	90.14	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Bifidobacterium breve
Bifidobacterium_breve_8_length_99652_cov_179.848828:_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	13349	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.48	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium breve
Eggerthella_lenta_4_length_80312_cov_4.621948:_tetW	1785	130	tet(W)	99.83	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	92.96	Eggerthella lenta
Eggerthella_lenta_34_length_25629_cov_3.454407:_vanW_gene_in_vanI_cluster	1992	138	vanW gene in vanI cluster	31.08	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	177.75	Eggerthella lenta
Enterobacter_ludwigii_1_length_167888_cov_4.370160:_bacA	822	761	bacA	94.14	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_3_length_121010_cov_4.061373:_acrD	3114	6076	acrD	90.84	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_4_length_111417_cov_4.621717:_PmrF	984	3670	PmrF	84.78	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	101.55	Enterobacter ludwigii
Enterobacter_ludwigii_7_length_88968_cov_3.759762:_Escherichia_coli_mdfA	1233	2813	Escherichia coli mdfA	86.24	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_8_length_85555_cov_4.417078:_ramA	342	427	ramA	97.35	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	91.13	Enterobacter ludwigii
Enterobacter_ludwigii_9_length_80563_cov_4.527868:_FosA2	426	37	FosA2	99.29	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_16_length_64325_cov_4.433741:_emrR	531	595	emrR	94.29	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_16_length_64325_cov_4.433741:_emrA	1173	3054	emrA	85.9	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_16_length_64325_cov_4.433741:_Klebsiella_pneumoniae_KpnH	1548	5298	Klebsiella pneumoniae KpnH	92.08	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.59	Enterobacter ludwigii
Enterobacter_ludwigii_17_length_60965_cov_3.631947:_Klebsiella_pneumoniae_KpnF	330	416	Klebsiella pneumoniae KpnF	88.99	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_17_length_60965_cov_3.631947:_Klebsiella_pneumoniae_KpnE	393	659	Klebsiella pneumoniae KpnE	85.0	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	108.33	Enterobacter ludwigii
Enterobacter_ludwigii_18_length_59664_cov_3.448974:_marA	381	229	marA	93.55	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	99.21	Enterobacter ludwigii
Enterobacter_ludwigii_23_length_50514_cov_4.019648:_acrB	3147	14788	acrB	92.85	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.90	Enterobacter ludwigii
Enterobacter_ludwigii_44_length_34551_cov_4.054592:_mdtB	3123	8285	mdtB	90.0	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_44_length_34551_cov_4.054592:_mdtC	3078	11397	mdtC	91.32	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_44_length_34551_cov_4.054592:_baeR	723	1735	baeR	95.42	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_56_length_29338_cov_4.027238:_vanG	1101	2146	vanG	39.89	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.87	Enterobacter ludwigii
Enterobacter_ludwigii_63_length_25591_cov_4.570158:_CRP	633	2684	CRP	99.05	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter ludwigii
