ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_breve_16_length_284111_cov_147.249996:_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	9955	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.48	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium breve
Bifidobacterium_breve_342_length_11921_cov_280.785690:_dfrA12	498	1988	dfrA12	99.39	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Bifidobacterium breve
Bifidobacterium_breve_342_length_11921_cov_280.785690:_aadA2	780	2984	aadA2	100.0	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	100.00	Bifidobacterium breve
Bifidobacterium_breve_342_length_11921_cov_280.785690:_qacEdelta1	348	1363	qacEdelta1	100.0	disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Bifidobacterium breve
Bifidobacterium_breve_342_length_11921_cov_280.785690:_sul1	840	2962	sul1	100.0	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	100.00	Bifidobacterium breve
Bifidobacterium_breve_342_length_11921_cov_280.785690:_mphA	906	3368	mphA	100.0	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	100.00	Bifidobacterium breve
Cutibacterium_avidum_22_length_251557_cov_21.526564:_vanT_gene_in_vanG_cluster	1128	437	vanT gene in vanG cluster	32.6	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.67	Cutibacterium avidum
Cutibacterium_avidum_71_length_109570_cov_23.134420:_ErmX	855	1051	ErmX	84.86	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Cutibacterium avidum
Eggerthella_lenta_221_length_26183_cov_5.079111:_vanW_gene_in_vanI_cluster	2217	167	vanW gene in vanI cluster	31.08	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	197.86	Eggerthella lenta
Enterococcus_faecalis_1_length_525499_cov_6.810784:_dfrE	495	84	dfrE	98.78	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus faecalis
Enterococcus_faecalis_1_length_525499_cov_6.810784:_emeA	1155	132	emeA	97.71	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.71	Enterococcus faecalis
Enterococcus_faecalis_3_length_344812_cov_7.723350:_vanT_gene_in_vanG_cluster	1116	136	vanT gene in vanG cluster	34.24	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	Enterococcus faecalis
Enterococcus_faecalis_3_length_344812_cov_7.723350:_tetM	1920	244	tet(M)	94.05	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Enterococcus faecalis
Enterococcus_faecalis_4_length_240403_cov_8.522049:_dfrG	498	72	dfrG	100.0	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus faecalis
Enterococcus_faecalis_5_length_222589_cov_7.958995:_lsaA	1497	197	lsaA	99.4	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100.00	Enterococcus faecalis
Enterococcus_faecalis_10_length_62660_cov_8.144959:_efrA	1719	226	efrA	99.3	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.48	Enterococcus faecalis
Escherichia_coli_1_length_528483_cov_104.167137:_CRP	633	2683	CRP	99.52	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_1_length_528483_cov_104.167137:_mdtE	1158	2319	mdtE	99.74	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_1_length_528483_cov_104.167137:_mdtF	3114	6841	mdtF	99.42	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_1_length_528483_cov_104.167137:_gadW	729	1664	gadW	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_1_length_528483_cov_104.167137:_gadX	825	1740	gadX	93.07	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_2_length_442386_cov_99.787549:_EC5	1134	2581	EC-5	98.94	cephalosporin	antibiotic inactivation	EC beta-lactamase	100.00	Escherichia coli
Escherichia_coli_3_length_427138_cov_94.501142:_vanG	1095	2878	vanG	39.5	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.30	Escherichia coli
Escherichia_coli_3_length_427138_cov_94.501142:_acrB	3150	12872	acrB	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
