ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Corynebacterium_3_170_vanW_gene_in_vanI_cluster	1728	4717	vanW gene in vanI cluster	34.42	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	154.16	Corynebacterium
Corynebacterium_5_16_tetW	1920	4777	tet(W)	97.18	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Corynebacterium
Corynebacterium_5_17_ErmX	855	2386	ErmX	90.49	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Corynebacterium
Enterobacter_kobei_3_41_acrD	3114	266	acrD	91.8	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_5_50_CRP	633	59	CRP	99.05	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_14_22_ramA	375	155	ramA	92.74	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Enterobacter kobei
Enterobacter_kobei_18_35_emrR	531	78	emrR	93.14	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_18_36_emrA	1173	115	emrA	85.9	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_18_37_emrB	1548	308	emrB	92.28	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.59	Enterobacter kobei
Enterobacter_kobei_21_1_acrB	3147	271	acrB	93.23	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.90	Enterobacter kobei
Enterobacter_kobei_21_2_Enterobacter_cloacae_acrA	1194	75	Enterobacter cloacae acrA	98.74	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_23_29_vanG	1101	107	vanG	39.09	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.87	Enterobacter kobei
Enterobacter_kobei_46_19_Escherichia_coli_mdfA	1233	126	Escherichia coli mdfA	85.75	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_48_2_FosA2	426	62	FosA2	95.04	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	100.00	Enterobacter kobei
Enterobacter_kobei_51_16_bacA	822	64	bacA	93.41	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Enterobacter kobei
Enterobacter_kobei_70_3_mdtB	3123	283	mdtB	89.81	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_70_4_mdtC	3078	405	mdtC	92.2	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_70_7_baeR	723	80	baeR	95.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_78_12_ACT28	1146	74	ACT-28	99.48	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	ACT beta-lactamase	100.00	Enterobacter kobei
Enterobacter_kobei_86_11_PmrF	1038	106	PmrF	85.09	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	107.14	Enterobacter kobei
Enterobacter_kobei_91_13_oqxA	1176	93	oqxA	90.28	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_91_14_oqxB	3153	366	oqxB	97.52	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_118_11_marA	381	24	marA	93.55	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	99.21	Enterobacter kobei
Enterobacter_kobei_141_6_adeF	3114	374	adeF	40.91	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	97.92	Enterobacter kobei
Enterobacter_kobei_158_7_rsmA	186	10	rsmA	85.25	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_300_2_Klebsiella_pneumoniae_KpnF	330	33	Klebsiella pneumoniae KpnF	87.16	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_300_3_Klebsiella_pneumoniae_KpnE	363	30	Klebsiella pneumoniae KpnE	82.5	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter kobei
Enterobacter_kobei_2_59_Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin	1392	177	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	93.95	phosphonic acid antibiotic	antibiotic target alteration	antibiotic-resistant UhpT	100.00	Enterobacter kobei
