ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Enterococcus_faecalis_1_156_vanT_gene_in_vanG_cluster	1116	1507	vanT gene in vanG cluster	34.24	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	Enterococcus faecalis
Enterococcus_faecalis_2_162_lsaA	1497	1457	lsaA	98.8	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100	Enterococcus faecalis
Enterococcus_faecalis_3_329_emeA	1155	989	emeA	97.46	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.71	Enterococcus faecalis
Enterococcus_faecalis_5_66_dfrE	495	545	dfrE	98.78	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100	Enterococcus faecalis
Enterococcus_faecalis_5_169_dfrG	498	426	dfrG	100	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100	Enterococcus faecalis
Enterococcus_faecalis_11_85_efrA	1719	1851	efrA	99.48	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.48	Enterococcus faecalis
Klebsiella_quasipneumoniae_1_195_Klebsiella_pneumoniae_OmpK37	1125	9708	Klebsiella pneumoniae OmpK37	95.72	monobactam; carbapenem; cephalosporin; cephamycin; penam; penem	reduced permeability to antibiotic	General Bacterial Porin with reduced permeability to beta-lactams	100	Klebsiella quasipneumoniae
Klebsiella_quasipneumoniae_1_324_Klebsiella_pneumoniae_KpnE	363	1751	Klebsiella pneumoniae KpnE	95.83	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100	Klebsiella quasipneumoniae
Klebsiella_quasipneumoniae_1_325_Klebsiella_pneumoniae_KpnF	330	1814	Klebsiella pneumoniae KpnF	99.08	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100	Klebsiella quasipneumoniae
Klebsiella_quasipneumoniae_1_368_OKPB1	861	4069	OKP-B-1	100	cephalosporin; penam	antibiotic inactivation	OKP beta-lactamase	100	Klebsiella quasipneumoniae
Klebsiella_quasipneumoniae_1_389_marA	375	2097	marA	91.94	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	97.64	Klebsiella quasipneumoniae
Klebsiella_quasipneumoniae_3_257_msbA	1749	10073	msbA	92.61	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100	Klebsiella quasipneumoniae
Klebsiella_quasipneumoniae_3_292_OmpA	1071	4591	OmpA	99.44	peptide antibiotic	reduced permeability to antibiotic	General Bacterial Porin with reduced permeability to peptide antibiotics	95.19	Klebsiella quasipneumoniae
Klebsiella_quasipneumoniae_4_106_vanG	1098	6080	vanG	38.94	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.58	Klebsiella quasipneumoniae
