ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Clostridioides_difficile_1_length_488406_cov_7.185754:_vanW_gene_in_vanI_cluster	1470	195	vanW gene in vanI cluster	33.76	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	131.10	Clostridioides difficile
Clostridioides_difficile_2_length_420096_cov_6.734511:_vanW_gene_in_vanI_cluster	1260	140	vanW gene in vanI cluster	27.39	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	112.33	Clostridioides difficile
Clostridioides_difficile_5_length_269346_cov_7.480625:_vanT_gene_in_vanG_cluster	2139	219	vanT gene in vanG cluster	61.38	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	100.00	Clostridioides difficile
Clostridioides_difficile_5_length_269346_cov_7.480625:_vanXY_gene_in_vanG_cluster	807	151	vanXY gene in vanG cluster	58.82	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY	105.51	Clostridioides difficile
Clostridioides_difficile_5_length_269346_cov_7.480625:_vanG	1101	116	vanG	67.03	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.87	Clostridioides difficile
Clostridioides_difficile_5_length_269346_cov_7.480625:_cdeA	1326	125	cdeA	99.32	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100.00	Clostridioides difficile
Clostridioides_difficile_7_length_199081_cov_8.106194:_CDD1	954	128	CDD-1	95.58	carbapenem	antibiotic inactivation	CDD beta-lactamase	101.60	Clostridioides difficile
Clostridioides_difficile_8_length_193251_cov_7.183555:_vanY_gene_in_vanF_cluster	648	82	vanY gene in vanF cluster	38.62	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	73.38	Clostridioides difficile
Clostridioides_difficile_9_length_187638_cov_7.900400:_tetM	1920	1160	tet(M)	90.77	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Clostridioides difficile
Clostridioides_difficile_12_length_140798_cov_8.512063:_vanT_gene_in_vanG_cluster	1158	167	vanT gene in vanG cluster	34.78	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.07	Clostridioides difficile
Clostridioides_difficile_15_length_120636_cov_8.331929:_vanY_gene_in_vanG_cluster	717	113	vanY gene in vanG cluster	34.04	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	85.30	Clostridioides difficile
Clostridioides_difficile_17_length_103162_cov_8.761733:_APH2If	894	151	APH(2'')-If	100.0	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')	100.00	Clostridioides difficile
Clostridioides_difficile_40_length_1279_cov_4.230449:_ErmB	750	482	ErmB	97.55	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.40	Clostridioides difficile
Cutibacterium_avidum_2_length_406981_cov_70.176912:_vanT_gene_in_vanG_cluster	1128	1328	vanT gene in vanG cluster	32.05	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.67	Cutibacterium avidum
Enterobacter_himalayensis_1_length_1264011_cov_126.647130:_Klebsiella_pneumoniae_KpnE	393	809	Klebsiella pneumoniae KpnE	82.5	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	108.33	Enterobacter himalayensis
Enterobacter_himalayensis_1_length_1264011_cov_126.647130:_Klebsiella_pneumoniae_KpnF	330	600	Klebsiella pneumoniae KpnF	87.16	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_1_length_1264011_cov_126.647130:_marA	381	621	marA	94.35	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	99.21	Enterobacter himalayensis
Enterobacter_himalayensis_1_length_1264011_cov_126.647130:_mdtB	3123	9772	mdtB	90.1	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_1_length_1264011_cov_126.647130:_mdtC	3078	9281	mdtC	92.0	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_1_length_1264011_cov_126.647130:_baeR	723	2031	baeR	95.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_3_length_483432_cov_138.045683:_Escherichia_coli_mdfA	1233	3492	Escherichia coli mdfA	86.73	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_3_length_483432_cov_138.045683:_msbA	1749	4651	msbA	94.85	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_19_length_256329_cov_148.219812:_acrB	3147	9917	acrB	92.85	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.90	Enterobacter himalayensis
Enterobacter_himalayensis_19_length_256329_cov_148.219812:_vanG	1098	2362	vanG	38.92	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.58	Enterobacter himalayensis
Enterobacter_himalayensis_26_length_217868_cov_142.767323:_oqxA	1176	3971	oqxA	92.07	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_26_length_217868_cov_142.767323:_oqxB	3153	10555	oqxB	96.67	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
