ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Acinetobacter_baumannii_2_55_LpsB	1101	131	LpsB	99.18	peptide antibiotic	reduced permeability to antibiotic	Intrinsic peptide antibiotic resistant Lps	100	Acinetobacter baumannii
Acinetobacter_baumannii_2_91_abeM	1347	165	abeM	99.78	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100	Acinetobacter baumannii
Acinetobacter_baumannii_4_24_ANT3IIc	789	91	ANT(3'')-IIc	69.77	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	101.16	Acinetobacter baumannii
Acinetobacter_baumannii_10_39_adeI	1251	194	adeI	99.76	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Acinetobacter baumannii
Acinetobacter_baumannii_10_40_adeJ	3177	432	adeJ	99.91	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Acinetobacter baumannii
Acinetobacter_baumannii_10_41_adeK	1455	330	adeK	99.79	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Acinetobacter baumannii
Acinetobacter_baumannii_12_30_ADC156	1152	164	ADC-156	100	cephalosporin	antibiotic inactivation	ADC beta-lactamases pending classification for carbapenemase activity	100	Acinetobacter baumannii
Acinetobacter_baumannii_23_26_abeS	330	36	abeS	99.08	macrolide antibiotic; aminocoumarin antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	100	Acinetobacter baumannii
Acinetobacter_baumannii_23_31_adeL	1032	110	adeL	99.7	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	101.78	Acinetobacter baumannii
Acinetobacter_baumannii_23_33_adeG	1218	121	adeG	99.01	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.75	Acinetobacter baumannii
Acinetobacter_baumannii_23_34_adeF	3180	340	adeF	99.72	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Acinetobacter baumannii
Acinetobacter_baumannii_23_35_adeH	1449	141	adeH	99.59	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.79	Acinetobacter baumannii
Acinetobacter_baumannii_34_21_adeN	654	83	adeN	98.16	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Acinetobacter baumannii
Acinetobacter_baumannii_35_20_Acinetobacter_baumannii_AmvA	1479	128	Acinetobacter baumannii AmvA	98.58	macrolide antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100	Acinetobacter baumannii
Acinetobacter_baumannii_56_20_OXA120	825	62	OXA-120	100	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	100	Acinetobacter baumannii
Acinetobacter_baumannii_73_2_adeB	3111	244	adeB	99.42	glycylcycline; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.1	Acinetobacter baumannii
