ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Clostridium_P_perfringens_12_length_239477_cov_23.133029:_vanH_gene_in_vanD_cluster	999	383	vanH gene in vanD cluster	35.44	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	102.79	Clostridium P perfringens
Clostridium_P_perfringens_51_length_107661_cov_21.266537:_vanT_gene_in_vanG_cluster	1161	360	vanT gene in vanG cluster	37.33	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.21	Clostridium P perfringens
Clostridium_P_perfringens_54_length_106732_cov_21.429268:_vanW_gene_in_vanI_cluster	1563	384	vanW gene in vanI cluster	26.72	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	139.41	Clostridium P perfringens
Clostridium_P_perfringens_55_length_105914_cov_20.801122:_vanW_gene_in_vanI_cluster	1263	392	vanW gene in vanI cluster	26.98	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	112.60	Clostridium P perfringens
Clostridium_P_perfringens_111_length_61948_cov_21.082481:_Clostridium_perfringens_mprF	1710	430	Clostridium perfringens mprF	97.89	peptide antibiotic	antibiotic target alteration	defensin resistant mprF	100.00	Clostridium P perfringens
Clostridium_P_perfringens_568_length_3219_cov_22.244627:_vanY_gene_in_vanB_cluster	792	209	vanY gene in vanB cluster	31.32	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	98.13	Clostridium P perfringens
Cutibacterium_avidum_3_length_254665_cov_80.575066:_vanT_gene_in_vanG_cluster	1128	1565	vanT gene in vanG cluster	32.05	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.67	Cutibacterium avidum
Enterobacter_himalayensis_1_length_646145_cov_280.116209:_msbA	1749	10096	msbA	94.85	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_1_length_646145_cov_280.116209:_Klebsiella_pneumoniae_KpnE	393	2348	Klebsiella pneumoniae KpnE	82.5	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	108.33	Enterobacter himalayensis
Enterobacter_himalayensis_1_length_646145_cov_280.116209:_Klebsiella_pneumoniae_KpnF	330	2068	Klebsiella pneumoniae KpnF	87.16	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_2_length_442240_cov_272.089442:_marA	381	2104	marA	94.35	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	99.21	Enterobacter himalayensis
Enterobacter_himalayensis_3_length_438318_cov_300.352256:_mdtB	3123	19132	mdtB	90.0	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_3_length_438318_cov_300.352256:_mdtC	3078	18214	mdtC	92.0	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
