ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bacteroides_fragilis_A_30_length_150632_cov_60.068908_119_CfiA14	750	705	CfiA14	100.0	carbapenem	antibiotic inactivation	CfiA beta-lactamase	100.00	Bacteroides fragilis A
Bacteroides_fragilis_A_110_length_71804_cov_59.042384_32_tetQ	1947	1611	tetQ	98.9	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	98.63	Bacteroides fragilis A
Bacteroides_fragilis_A_4221_length_2674_cov_92.232150_1_tetQ	1974	1748	tetQ	97.56	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Bacteroides fragilis A
Bifidobacterium_sp002742445_2_length_117096_cov_71.721850_37_ErmX	855	0	ErmX	90.14	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Bifidobacterium sp002742445
Bifidobacterium_sp002742445_7_length_64096_cov_84.003685_52_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3561	3125	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	98.06	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.00	Bifidobacterium sp002742445
Campylobacter_D_coli_2_length_391878_cov_43.505391_137_OXA193	774	404	OXA-193	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	100.00	Campylobacter D coli
Campylobacter_D_coli_1_length_1005181_cov_40.205520_726_Campylobacter_jejuni_gyrA_conferring_resistance_to_fluoroquinolones	2568	1567	Campylobacter jejuni gyrA conferring resistance to fluoroquinolones	90.51	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	99.07	Campylobacter D coli
Enterococcus_A_raffinosus_20_length_78771_cov_7.634064_70_APH3IIIa	795	79	APH(3')-IIIa	100.0	aminoglycoside antibiotic	antibiotic inactivation	APH(3')	100.00	Enterococcus A raffinosus
Enterococcus_A_raffinosus_56_length_3865_cov_5.155906_4_CTXM15	876	82	CTX-M-15	100.0	cephalosporin; penam	antibiotic inactivation	CTX-M beta-lactamase	100.00	Enterococcus A raffinosus
Escherichia_coli_D_1_length_49727_cov_4.125725_32_EC15	1134	118	EC-15	96.55	cephalosporin	antibiotic inactivation	EC beta-lactamase	100.00	Escherichia coli D
Escherichia_coli_D_3_length_40359_cov_3.893013_10_cpxA	1374	120	cpxA	99.12	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_13_length_28392_cov_2.977485_3_mdtH	1209	93	mdtH	99.75	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_13_length_28392_cov_2.977485_16_mdtG	1227	82	mdtG	100.0	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_26_length_20102_cov_3.927025_8_eptA	1644	173	eptA	99.63	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia coli D
Escherichia_coli_D_32_length_17428_cov_3.589766_2_mdtP	1467	138	mdtP	99.8	nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
