ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bacteroides_thetaiotaomicron_15_length_153776_cov_46.755607:_vanT_gene_in_vanG_cluster	2550	2093	vanT gene in vanG cluster	35.88	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	119.24	Bacteroides thetaiotaomicron
Bacteroides_thetaiotaomicron_21_length_97629_cov_42.822864:_adeF	3147	2352	adeF	43.39	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	98.96	Bacteroides thetaiotaomicron
Bacteroides_thetaiotaomicron_24_length_88712_cov_42.269465:_adeF	3105	2498	adeF	42.83	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	97.64	Bacteroides thetaiotaomicron
Bilophila_wadsworthia_9_length_95031_cov_7.441193:_vanT_gene_in_vanG_cluster	1155	120	vanT gene in vanG cluster	35.45	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	53.93	Bilophila wadsworthia
Bilophila_wadsworthia_15_length_66515_cov_8.195792:_adeF	3174	1463	adeF	41.65	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.81	Bilophila wadsworthia
Bilophila_wadsworthia_76_length_13328_cov_8.804996:_vanW_gene_in_vanG_cluster	447	83	vanW gene in vanG cluster	29.93	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	52.67	Bilophila wadsworthia
Bilophila_wadsworthia_76_length_13328_cov_8.804996:_vanW_gene_in_vanB_cluster	363	57	vanW gene in vanB cluster	39.76	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	43.64	Bilophila wadsworthia
Bilophila_wadsworthia_93_length_9705_cov_8.100229:_adeF	3165	751	adeF	46.43	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.53	Bilophila wadsworthia
Clostridioides_difficile_1_length_538800_cov_22.769720:_vanT_gene_in_vanG_cluster	2139	978	vanT gene in vanG cluster	61.38	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	100.00	Clostridioides difficile
Clostridioides_difficile_1_length_538800_cov_22.769720:_vanXY_gene_in_vanG_cluster	807	429	vanXY gene in vanG cluster	58.82	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY	105.51	Clostridioides difficile
Clostridioides_difficile_1_length_538800_cov_22.769720:_vanG	1101	392	vanG	67.03	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.87	Clostridioides difficile
Clostridioides_difficile_4_length_394430_cov_24.760813:_vanW_gene_in_vanI_cluster	1260	649	vanW gene in vanI cluster	27.39	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	112.33	Clostridioides difficile
Clostridioides_difficile_5_length_289411_cov_24.975876:_vanY_gene_in_vanF_cluster	648	355	vanY gene in vanF cluster	38.62	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	73.38	Clostridioides difficile
Clostridioides_difficile_6_length_255935_cov_27.871976:_tetM	1920	2650	tet(M)	90.77	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Clostridioides difficile
Clostridioides_difficile_8_length_235752_cov_28.758354:_CDD1	954	478	CDD-1	95.58	carbapenem	antibiotic inactivation	CDD beta-lactamase	101.60	Clostridioides difficile
Clostridioides_difficile_10_length_159743_cov_29.924593:_vanY_gene_in_vanG_cluster	717	401	vanY gene in vanG cluster	34.04	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	85.30	Clostridioides difficile
Clostridioides_difficile_11_length_140746_cov_29.704818:_vanT_gene_in_vanG_cluster	1158	551	vanT gene in vanG cluster	34.78	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.07	Clostridioides difficile
Clostridioides_difficile_12_length_134717_cov_24.794149:_cdeA	1326	599	cdeA	99.32	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100.00	Clostridioides difficile
Clostridioides_difficile_16_length_103667_cov_31.379776:_APH2If	894	459	APH(2'')-If	100.0	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')	100.00	Clostridioides difficile
Clostridioides_difficile_17_length_82981_cov_24.742353:_vanW_gene_in_vanI_cluster	1470	739	vanW gene in vanI cluster	33.76	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	131.10	Clostridioides difficile
Clostridium_sp900547475_18_length_14914_cov_3.065377:_vanY_gene_in_vanB_cluster	579	45	vanY gene in vanB cluster	37.37	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	71.64	Clostridium sp900547475
Clostridium_sp900547475_28_length_13506_cov_2.840048:_vanW_gene_in_vanI_cluster	1476	124	vanW gene in vanI cluster	28.65	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	131.64	Clostridium sp900547475
Clostridium_sp900547475_178_length_5850_cov_2.800970:_vanY_gene_in_vanB_cluster	783	43	vanY gene in vanB cluster	35.18	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	97.01	Clostridium sp900547475
Clostridium_sp900547475_425_length_2495_cov_1.928453:_tet36	1941	119	tet(36)	32.89	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.94	Clostridium sp900547475
Enterococcus_B_faecium_25_length_273569_cov_14.066092:_vanY_gene_in_vanB_cluster	861	201	vanY gene in vanB cluster	34.9	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	106.72	Enterococcus B faecium
Enterococcus_B_faecium_110_length_110518_cov_15.868037:_AAC6Ii	549	101	AAC(6')-Ii	98.9	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	100.00	Enterococcus B faecium
Enterococcus_B_faecium_289_length_42571_cov_16.489510:_efmA	1338	290	efmA	100.0	macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	103.97	Enterococcus B faecium
Enterococcus_B_faecium_349_length_30899_cov_16.247633:_efrA	1731	862	efrA	82.81	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.17	Enterococcus B faecium
Enterococcus_B_faecium_506_length_16323_cov_13.983526:_APH2IVa	906	206	APH(2'')-IVa	100.0	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')	100.00	Enterococcus B faecium
Enterococcus_B_faecium_506_length_16323_cov_13.983526:_lsaE	804	144	lsaE	100.0	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100.00	Enterococcus B faecium
Enterococcus_B_faecium_506_length_16323_cov_13.983526:_aad6	909	149	aad(6)	100.0	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)	109.42	Enterococcus B faecium
Enterococcus_B_faecium_506_length_16323_cov_13.983526:_SAT4	543	154	SAT-4	99.44	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	100.00	Enterococcus B faecium
Enterococcus_B_faecium_506_length_16323_cov_13.983526:_APH3IIIa	795	176	APH(3')-IIIa	100.0	aminoglycoside antibiotic	antibiotic inactivation	APH(3')	100.00	Enterococcus B faecium
Enterococcus_faecalis_2_length_326406_cov_118.153207:_dfrG	498	1055	dfrG	100.0	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus faecalis
