ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_breve_5_length_196664_cov_310.775743:_ErmX	846	4274	ErmX	89.25	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	98.94	Bifidobacterium breve
Bifidobacterium_breve_9_length_100154_cov_375.237457:_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	23162	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.48	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium breve
Enterobacter_ludwigii_1_length_1592988_cov_153.604810:_Klebsiella_pneumoniae_KpnE	393	1021	Klebsiella pneumoniae KpnE	84.17	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	108.33	Enterobacter ludwigii
Enterobacter_ludwigii_1_length_1592988_cov_153.604810:_Klebsiella_pneumoniae_KpnF	330	897	Klebsiella pneumoniae KpnF	88.99	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_1_length_1592988_cov_153.604810:_marA	381	1054	marA	93.55	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	99.21	Enterobacter ludwigii
Enterobacter_ludwigii_1_length_1592988_cov_153.604810:_mdtB	3123	8170	mdtB	90.0	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_1_length_1592988_cov_153.604810:_mdtC	3078	8371	mdtC	91.41	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_1_length_1592988_cov_153.604810:_baeR	723	2228	baeR	95.42	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_2_length_889425_cov_166.762929:_msbA	1749	5319	msbA	94.67	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_2_length_889425_cov_166.762929:_Escherichia_coli_mdfA	1233	3153	Escherichia coli mdfA	86.24	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_2_length_889425_cov_166.762929:_oqxB	3153	8813	oqxB	96.95	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter ludwigii
Enterobacter_ludwigii_2_length_889425_cov_166.762929:_oqxA	1176	3177	oqxA	91.05	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter ludwigii
