ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Atopobium_minutum_1_length_310797_cov_6.250042:_ErmG	735	64	ErmG	99.18	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Atopobium minutum
Atopobium_minutum_2_length_247760_cov_5.772483:_vanT_gene_in_vanG_cluster	1167	153	vanT gene in vanG cluster	32.08	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.49	Atopobium minutum
Bifidobacterium_breve_8_length_99243_cov_130.874755:_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	16102	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.48	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium breve
Bifidobacterium_breve_45_length_1247_cov_31.769231:_tetW	546	652	tet(W)	96.13	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	28.33	Bifidobacterium breve
Bifidobacterium_longum_110_length_61466_cov_117.496230:_ErmX	855	966	ErmX	90.14	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Bifidobacterium longum
Cutibacterium_avidum_10_length_313744_cov_58.159043:_vanT_gene_in_vanG_cluster	1128	924	vanT gene in vanG cluster	32.05	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.67	Cutibacterium avidum
Escherichia_flexneri_12_length_310356_cov_8.046207:_Escherichia_coli_acrA	1194	1256	Escherichia coli acrA	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_12_length_310356_cov_8.046207:_acrB	3150	12008	acrB	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_12_length_310356_cov_8.046207:_vanG	1095	1027	vanG	39.5	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.30	Escherichia flexneri
Escherichia_flexneri_21_length_184984_cov_8.622525:_eptA	1644	1334	eptA	99.63	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia flexneri
