ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Citrobacter_freundii_13_length_222927_cov_14.072230:_mdtB	3123	6598	mdtB	92.88	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_13_length_222927_cov_14.072230:_mdtC	3081	8531	mdtC	93.27	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.10	Citrobacter freundii
Citrobacter_freundii_13_length_222927_cov_14.072230:_baeR	723	1815	baeR	97.08	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_40_length_122762_cov_16.799824:_bacA	819	2491	bacA	93.41	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	99.63	Citrobacter freundii
Citrobacter_freundii_41_length_119156_cov_17.788574:_mdtN	1035	404	mdtN	88.34	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.29	Citrobacter freundii
Citrobacter_freundii_47_length_109893_cov_16.573326:_acrD	3114	6440	acrD	94.89	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_59_length_95831_cov_15.688628:_vanG	1113	2081	vanG	37.4	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	106.02	Citrobacter freundii
Citrobacter_freundii_60_length_95137_cov_13.350971:_marA	384	566	marA	93.7	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Citrobacter freundii
Citrobacter_freundii_91_length_66191_cov_15.673158:_emrB	1539	5685	emrB	95.42	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_91_length_66191_cov_15.673158:_emrA	1173	2983	emrA	88.72	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_91_length_66191_cov_15.673158:_emrR	531	302	emrR	96.57	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_115_length_55966_cov_17.377171:_mdtM	1242	1534	mdtM	86.24	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.73	Citrobacter freundii
Citrobacter_freundii_130_length_49806_cov_14.380093:_mdtG	1221	308	mdtG	91.13	phosphonic acid antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	99.51	Citrobacter freundii
Citrobacter_freundii_155_length_45114_cov_14.280321:_msbA	1749	3649	msbA	95.19	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_164_length_42948_cov_17.234257:_CRP	633	3169	CRP	99.05	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_174_length_41199_cov_15.265020:_kdpE	678	2306	kdpE	90.62	aminoglycoside antibiotic	antibiotic efflux	kdpDE	100.00	Citrobacter freundii
Citrobacter_freundii_226_length_34767_cov_15.025467:_PmrF	984	2403	PmrF	88.47	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	101.55	Citrobacter freundii
Citrobacter_freundii_336_length_25614_cov_18.812277:_cpxA	1374	5942	cpxA	98.25	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_425_length_19999_cov_13.623897:_Klebsiella_pneumoniae_KpnF	330	358	Klebsiella pneumoniae KpnF	88.99	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_425_length_19999_cov_13.623897:_Klebsiella_pneumoniae_KpnE	363	579	Klebsiella pneumoniae KpnE	80.0	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_440_length_19185_cov_15.571197:_acrB	3150	18128	acrB	94.66	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_440_length_19185_cov_15.571197:_Escherichia_coli_acrA	1194	3032	Escherichia coli acrA	90.18	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_470_length_17738_cov_16.985466:_CMY72	1146	628	CMY-72	100.0	cephamycin	antibiotic inactivation	CMY beta-lactamase	100.00	Citrobacter freundii
Citrobacter_freundii_487_length_17145_cov_13.923815:_Escherichia_coli_mdfA	1233	2016	Escherichia coli mdfA	87.8	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Citrobacter freundii
Citrobacter_freundii_98_length_64660_cov_18.754694:_Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin	1392	8692	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	95.68	phosphonic acid antibiotic	antibiotic target alteration	antibiotic-resistant UhpT	100.00	Citrobacter freundii
Citrobacter_freundii_226_length_34767_cov_15.025467:_Escherichia_coli_GlpT_with_mutation_conferring_resistance_to_fosfomycin	1359	4832	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	95.58	phosphonic acid antibiotic	antibiotic target alteration	antibiotic-resistant GlpT	100.00	Citrobacter freundii
Citrobacter_freundii_41_length_119156_cov_17.788574:_Escherichia_coli_soxS_with_mutation_conferring_antibiotic_resistance	324	242	Escherichia coli soxS with mutation conferring antibiotic resistance	93.46	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux; reduced permeability to antibiotic	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Citrobacter freundii
