ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Clostridioides_difficile_1_length_1007171_cov_18.610198:_vanW_gene_in_vanI_cluster	1260	333	vanW gene in vanI cluster	27.39	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	112.33	Clostridioides difficile
Clostridioides_difficile_1_length_1007171_cov_18.610198:_vanY_gene_in_vanF_cluster	648	203	vanY gene in vanF cluster	38.62	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	73.38	Clostridioides difficile
Clostridioides_difficile_3_length_475514_cov_18.784158:_vanW_gene_in_vanI_cluster	1470	378	vanW gene in vanI cluster	33.76	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	131.10	Clostridioides difficile
Clostridioides_difficile_35_length_154748_cov_21.757908:_vanY_gene_in_vanG_cluster	717	174	vanY gene in vanG cluster	34.04	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	85.30	Clostridioides difficile
Clostridioides_difficile_42_length_133737_cov_21.738731:_vanT_gene_in_vanG_cluster	1158	387	vanT gene in vanG cluster	34.78	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.07	Clostridioides difficile
Clostridioides_difficile_43_length_131426_cov_17.709228:_cdeA	1326	324	cdeA	99.32	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100.00	Clostridioides difficile
Clostridioides_difficile_115_length_45174_cov_20.922981:_CDD1	954	298	CDD-1	95.27	carbapenem	antibiotic inactivation	CDD beta-lactamase	101.60	Clostridioides difficile
Clostridioides_difficile_167_length_22644_cov_17.762849:_vanG	1101	275	vanG	67.3	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.87	Clostridioides difficile
Clostridioides_difficile_167_length_22644_cov_17.762849:_vanXY_gene_in_vanG_cluster	807	231	vanXY gene in vanG cluster	58.82	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY	105.51	Clostridioides difficile
Clostridioides_difficile_167_length_22644_cov_17.762849:_vanT_gene_in_vanG_cluster	2139	650	vanT gene in vanG cluster	61.52	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	100.00	Clostridioides difficile
