ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Anaerococcus_obesiensis_36_length_8872_cov_2.773167:_vanT_gene_in_vanG_cluster	1107	53	vanT gene in vanG cluster	34.89	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	51.69	Anaerococcus obesiensis
Anaerococcus_obesiensis_51_length_7540_cov_2.187056:_vanY_gene_in_vanB_cluster	1008	62	vanY gene in vanB cluster	31.84	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	125.00	Anaerococcus obesiensis
Clostridioides_difficile_1_length_783754_cov_11.257842:_vanG	1101	256	vanG	67.03	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.87	Clostridioides difficile
Clostridioides_difficile_1_length_783754_cov_11.257842:_vanXY_gene_in_vanG_cluster	807	212	vanXY gene in vanG cluster	58.82	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY	105.51	Clostridioides difficile
Clostridioides_difficile_1_length_783754_cov_11.257842:_vanT_gene_in_vanG_cluster	2139	540	vanT gene in vanG cluster	61.38	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	100.00	Clostridioides difficile
Clostridioides_difficile_1_length_783754_cov_11.257842:_vanW_gene_in_vanI_cluster	1260	286	vanW gene in vanI cluster	27.39	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	112.33	Clostridioides difficile
Clostridioides_difficile_4_length_230584_cov_14.419744:_CDD1	954	250	CDD-1	95.58	carbapenem	antibiotic inactivation	CDD beta-lactamase	101.60	Clostridioides difficile
Clostridioides_difficile_5_length_197821_cov_14.357078:_ErmB	738	395	ErmB	98.37	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	98.79	Clostridioides difficile
Clostridioides_difficile_6_length_193784_cov_12.637210:_vanY_gene_in_vanF_cluster	648	187	vanY gene in vanF cluster	38.62	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	73.38	Clostridioides difficile
Clostridioides_difficile_7_length_186371_cov_15.655045:_tetM	1920	5171	tet(M)	91.55	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Clostridioides difficile
Clostridioides_difficile_9_length_140798_cov_15.514060:_vanT_gene_in_vanG_cluster	1158	368	vanT gene in vanG cluster	34.78	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.07	Clostridioides difficile
