ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Clostridioides_difficile_1_length_1007171_cov_31.833994:_vanY_gene_in_vanF_cluster	648	387	vanY gene in vanF cluster	38.62	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	73.38	Clostridioides difficile
Clostridioides_difficile_1_length_1007171_cov_31.833994:_vanW_gene_in_vanI_cluster	1260	558	vanW gene in vanI cluster	27.39	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	112.33	Clostridioides difficile
Clostridioides_difficile_5_length_475514_cov_33.993726:_vanW_gene_in_vanI_cluster	1470	698	vanW gene in vanI cluster	33.76	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	131.10	Clostridioides difficile
Clostridioides_difficile_46_length_149835_cov_40.330999:_CDD1	954	486	CDD-1	95.27	carbapenem	antibiotic inactivation	CDD beta-lactamase	101.60	Clostridioides difficile
Clostridioides_difficile_53_length_133737_cov_42.854505:_vanT_gene_in_vanG_cluster	1158	587	vanT gene in vanG cluster	34.78	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.07	Clostridioides difficile
Clostridioides_difficile_55_length_131426_cov_30.279217:_cdeA	1326	674	cdeA	99.32	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100.00	Clostridioides difficile
Clostridioides_difficile_111_length_76447_cov_41.921824:_vanY_gene_in_vanG_cluster	717	439	vanY gene in vanG cluster	34.04	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	85.30	Clostridioides difficile
Clostridioides_difficile_352_length_22613_cov_30.712342:_vanG	1101	443	vanG	67.3	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.87	Clostridioides difficile
Clostridioides_difficile_352_length_22613_cov_30.712342:_vanXY_gene_in_vanG_cluster	807	470	vanXY gene in vanG cluster	58.82	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY	105.51	Clostridioides difficile
Clostridioides_difficile_352_length_22613_cov_30.712342:_vanT_gene_in_vanG_cluster	2139	1009	vanT gene in vanG cluster	61.52	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	100.00	Clostridioides difficile
Escherichia_coli_D_21_length_219197_cov_178.024258:_bacA	822	2593	bacA	99.63	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Escherichia coli D
Escherichia_coli_D_21_length_219197_cov_178.024258:_TolC	1482	3613	TolC	99.8	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	99.60	Escherichia coli D
Escherichia_coli_D_31_length_191244_cov_190.570545:_CRP	633	1886	CRP	99.52	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_52_length_141494_cov_192.592665:_AcrF	3105	7133	AcrF	99.42	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_52_length_141494_cov_192.592665:_AcrE	1158	2793	AcrE	98.96	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_52_length_141494_cov_192.592665:_AcrS	663	1631	AcrS	98.64	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_56_length_129702_cov_154.789922:_YojI	1644	3616	YojI	99.27	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_57_length_128937_cov_199.458326:_cpxA	1374	4361	cpxA	100.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_65_length_114306_cov_143.164585:_baeR	723	1590	baeR	99.17	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_65_length_114306_cov_143.164585:_baeS	1404	2947	baeS	97.64	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_65_length_114306_cov_143.164585:_mdtC	3078	7183	mdtC	99.41	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_65_length_114306_cov_143.164585:_mdtB	3123	7323	mdtB	99.81	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_65_length_114306_cov_143.164585:_mdtA	1248	2741	mdtA	99.04	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_65_length_114306_cov_143.164585:_ugd	1167	2193	ugd	99.48	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia coli D
Escherichia_coli_D_67_length_107824_cov_168.427414:_vanG	1095	2360	vanG	39.5	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.30	Escherichia coli D
Escherichia_coli_D_68_length_107229_cov_159.900190:_PmrF	969	2346	PmrF	99.07	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia coli D
Escherichia_coli_D_74_length_103207_cov_163.447224:_acrD	3114	7752	acrD	99.71	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_86_length_91817_cov_192.947331:_mdtN	1032	2489	mdtN	99.71	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_86_length_91817_cov_192.947331:_mdtO	2052	5167	mdtO	98.24	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_86_length_91817_cov_192.947331:_mdtP	1467	4238	mdtP	97.95	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_95_length_82197_cov_148.515948:_Escherichia_coli_mdfA	1233	2499	Escherichia coli mdfA	96.59	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_96_length_81850_cov_153.031175:_msbA	1749	3929	msbA	100.0	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_106_length_78030_cov_155.342264:_kdpE	678	1386	kdpE	100.0	aminoglycoside antibiotic	antibiotic efflux	kdpDE	100.00	Escherichia coli D
Escherichia_coli_D_116_length_74668_cov_147.418091:_mdtH	1209	2506	mdtH	99.75	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_116_length_74668_cov_147.418091:_mdtG	1227	2174	mdtG	99.75	phosphonic acid antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_149_length_56429_cov_129.291695:_Klebsiella_pneumoniae_KpnE	366	690	Klebsiella pneumoniae KpnE	81.36	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.83	Escherichia coli D
