ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Actinomyces_urogenitalis_74_length_142778_cov_29.975666:_vanW_gene_in_vanI_cluster	1983	782	vanW gene in vanI cluster	29.41	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	176.94	Actinomyces urogenitalis
Anaerococcus_obesiensis_2_length_264954_cov_13.603246:_vanT_gene_in_vanG_cluster	1107	310	vanT gene in vanG cluster	33.7	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	51.69	Anaerococcus obesiensis
Anaerococcus_obesiensis_10_length_71882_cov_15.356410:_vanY_gene_in_vanB_cluster	1008	332	vanY gene in vanB cluster	32.78	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	125.00	Anaerococcus obesiensis
Bifidobacterium_longum_156_length_82153_cov_273.123048:_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	15163	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.65	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium longum
Clostridium_baratii_1995_length_6376_cov_3.999842:_vanW_gene_in_vanG_cluster	831	77	vanW gene in vanG cluster	33.21	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	98.22	Clostridium baratii
Clostridium_baratii_3486_length_3290_cov_3.970634:_vanY_gene_in_vanB_cluster	402	23	vanY gene in vanB cluster	44.29	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	49.63	Clostridium baratii
Clostridium_baratii_6185_length_1379_cov_3.255287:_vanW_gene_in_vanI_cluster	1275	86	vanW gene in vanI cluster	29.75	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	113.94	Clostridium baratii
Clostridium_baratii_898_length_15515_cov_5.909314:_Clostridioides_difficile_gyrB_conferring_resistance_to_fluoroquinolones	1911	241	Clostridioides difficile gyrB conferring resistance to fluoroquinolones	79.28	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrB	99.84	Clostridium baratii
Cutibacterium_avidum_186_length_72771_cov_7.469979:_vanT_gene_in_vanG_cluster	1128	86	vanT gene in vanG cluster	32.05	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.67	Cutibacterium avidum
Dysgonomonas_capnocytophagoides_34_length_208640_cov_11.599386:_vanT_gene_in_vanG_cluster	2472	440	vanT gene in vanG cluster	34.75	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	115.59	Dysgonomonas capnocytophagoides
Dysgonomonas_capnocytophagoides_49_length_176712_cov_11.962136:_vanW_gene_in_vanG_cluster	819	100	vanW gene in vanG cluster	33.65	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	96.80	Dysgonomonas capnocytophagoides
Dysgonomonas_capnocytophagoides_192_length_70280_cov_9.611164:_vanW_gene_in_vanG_cluster	699	92	vanW gene in vanG cluster	31.07	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	82.56	Dysgonomonas capnocytophagoides
Enterococcus_faecalis_5_length_381347_cov_25.971143:_dfrE	495	203	dfrE	98.78	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus faecalis
Enterococcus_faecalis_67_length_150453_cov_29.595054:_vanT_gene_in_vanG_cluster	1116	446	vanT gene in vanG cluster	34.24	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	Enterococcus faecalis
Enterococcus_faecalis_105_length_109306_cov_31.400802:_efrA	1719	713	efrA	99.65	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.48	Enterococcus faecalis
Enterococcus_faecalis_122_length_95963_cov_29.350503:_lsaA	1497	604	lsaA	98.19	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100.00	Enterococcus faecalis
Enterococcus_faecalis_276_length_52546_cov_27.617363:_emeA	1155	398	emeA	97.71	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.71	Enterococcus faecalis
Escherichia_coli_3_length_395037_cov_23.075578:_PmrF	969	516	PmrF	99.38	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia coli
Escherichia_coli_3_length_395037_cov_23.075578:_YojI	1644	817	YojI	98.54	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_3_length_395037_cov_23.075578:_baeR	723	416	baeR	100.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_3_length_395037_cov_23.075578:_baeS	1404	641	baeS	96.15	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_3_length_395037_cov_23.075578:_mdtC	3078	2035	mdtC	98.73	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_3_length_395037_cov_23.075578:_mdtB	3123	1834	mdtB	99.9	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_3_length_395037_cov_23.075578:_mdtA	1248	500	mdtA	98.8	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_3_length_395037_cov_23.075578:_ugd	1167	510	ugd	99.74	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia coli
Escherichia_coli_8_length_329083_cov_20.868707:_Klebsiella_pneumoniae_KpnE	366	126	Klebsiella pneumoniae KpnE	82.2	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.83	Escherichia coli
Escherichia_coli_8_length_329083_cov_20.868707:_Klebsiella_pneumoniae_KpnF	330	116	Klebsiella pneumoniae KpnF	84.4	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_8_length_329083_cov_20.868707:_marA	384	268	marA	99.21	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Escherichia coli
Escherichia_coli_9_length_321822_cov_25.095951:_vanG	1095	553	vanG	39.5	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.30	Escherichia coli
Escherichia_coli_9_length_321822_cov_25.095951:_acrB	3150	3047	acrB	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_9_length_321822_cov_25.095951:_Escherichia_coli_acrA	1194	784	Escherichia coli acrA	99.75	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_12_length_276187_cov_26.428697:_bacA	822	789	bacA	99.63	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Escherichia coli
Escherichia_coli_12_length_276187_cov_26.428697:_TolC	1482	1021	TolC	99.8	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	99.60	Escherichia coli
Escherichia_coli_40_length_189149_cov_24.709711:_acrD	3114	2108	acrD	99.9	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_46_length_178078_cov_23.533128:_msbA	1749	928	msbA	99.66	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_46_length_178078_cov_23.533128:_mdtG	1227	402	mdtG	99.75	phosphonic acid antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_46_length_178078_cov_23.533128:_mdtH	1209	518	mdtH	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
