ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bacteroides_fragilis_8_length_251937_cov_12.357028_5_tetQ	1947	873	tetQ	97.02	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	98.63	Bacteroides fragilis
Bacteroides_fragilis_30_length_152542_cov_13.337262_102_cepA	903	223	cepA	99.67	cephalosporin	antibiotic inactivation	cepA beta-lactamase	100.00	Bacteroides fragilis
Bifidobacterium_kashiwanohense_A_230_length_40338_cov_65.284338_14_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3561	17148	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	93.51	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.00	Bifidobacterium kashiwanohense A
Campylobacter_D_jejuni_2_length_267124_cov_31.942277_35_OXA61	774	308	OXA-61	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	100.00	Campylobacter D jejuni
Campylobacter_D_jejuni_2_length_267124_cov_31.942277_99_cmeC	1479	664	cmeC	99.39	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; fusidic acid	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Campylobacter D jejuni
Campylobacter_D_jejuni_2_length_267124_cov_31.942277_101_cmeA	1104	601	cmeA	95.64	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; fusidic acid	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Campylobacter D jejuni
Campylobacter_D_jejuni_2_length_267124_cov_31.942277_102_cmeR	633	220	cmeR	99.05	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; fusidic acid	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Campylobacter D jejuni
Campylobacter_D_jejuni_1_length_316271_cov_26.317486_296_Campylobacter_jejuni_gyrA_conferring_resistance_to_fluoroquinolones	2589	1225	Campylobacter jejuni gyrA conferring resistance to fluoroquinolones	99.88	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	99.88	Campylobacter D jejuni
Campylobacter_D_jejuni_2_length_267124_cov_31.942277_Campylobacter_jejuni_23S_rRNA_with_mutation_conferring_resistance_to_erythromycin	2912	50858	Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin	99.66	macrolide antibiotic	antibiotic target alteration	23S rRNA with mutation conferring resistance to macrolide antibiotics	99.97	Campylobacter D jejuni
Escherichia_flexneri_5_length_71312_cov_7.356737_15_Escherichia_coli_acrA	1194	301	Escherichia coli acrA	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
