ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Enterobacter_himalayensis_1_129_baeR	723	4223	baeR	95.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_1_132_mdtC	3078	14125	mdtC	92.0	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_1_133_mdtB	3123	13431	mdtB	90.0	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_4_137_vanG	1098	3206	vanG	38.92	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.58	Enterobacter himalayensis
Enterobacter_himalayensis_5_4_msbA	1749	4886	msbA	94.85	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_7_69_oqxA	1176	6320	oqxA	92.07	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_7_70_oqxB	3153	19972	oqxB	96.86	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_11_18_Escherichia_coli_mdfA	1233	3723	Escherichia coli mdfA	86.49	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_12_41_acrB	3147	18855	acrB	92.95	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.90	Enterobacter himalayensis
Enterobacter_himalayensis_17_22_marA	381	644	marA	94.35	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	99.21	Enterobacter himalayensis
Enterobacter_himalayensis_24_20_Klebsiella_pneumoniae_KpnF	330	602	Klebsiella pneumoniae KpnF	87.16	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_24_21_Klebsiella_pneumoniae_KpnE	393	580	Klebsiella pneumoniae KpnE	82.5	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	108.33	Enterobacter himalayensis
Enterobacter_himalayensis_26_21_ACT36	1146	133	ACT-36	98.43	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	ACT beta-lactamase	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_28_63_rsmA	186	1922	rsmA	85.25	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_33_25_CRP	633	3389	CRP	99.05	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_39_29_FosA2	426	277	FosA2	96.45	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_43_22_ramA	342	184	ramA	95.58	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	91.13	Enterobacter himalayensis
Enterobacter_himalayensis_47_12_acrD	3114	15482	acrD	91.71	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_55_16_bacA	822	4390	bacA	95.24	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Enterobacter himalayensis
