ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Clostridium_P_perfringens_1_30_Clostridium_perfringens_mprF	1710	1708	Clostridium perfringens mprF	98.42	peptide antibiotic	antibiotic target alteration	defensin resistant mprF	100.00	Clostridium P perfringens
Clostridium_P_perfringens_1_242_vanY_gene_in_vanB_cluster	792	705	vanY gene in vanB cluster	31.32	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	98.13	Clostridium P perfringens
Clostridium_P_perfringens_1_356_vanW_gene_in_vanI_cluster	1563	1349	vanW gene in vanI cluster	26.72	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	139.41	Clostridium P perfringens
Clostridium_P_perfringens_1_482_vanW_gene_in_vanI_cluster	1263	1256	vanW gene in vanI cluster	29.96	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	112.60	Clostridium P perfringens
Clostridium_P_perfringens_1_957_vanT_gene_in_vanG_cluster	1161	1581	vanT gene in vanG cluster	37.33	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.21	Clostridium P perfringens
Clostridium_P_perfringens_5_40_vanH_gene_in_vanD_cluster	999	1208	vanH gene in vanD cluster	35.44	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	102.79	Clostridium P perfringens
Clostridium_P_perfringens_61_52_tetAP	1263	4218	tetA(P)	98.33	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Clostridium P perfringens
Clostridium_P_perfringens_61_53_tetBP	1959	6913	tetB(P)	99.54	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Clostridium P perfringens
Eggerthella_lenta_45_8_vanW_gene_in_vanI_cluster	1914	125	vanW gene in vanI cluster	31.08	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	170.78	Eggerthella lenta
Enterococcus_faecalis_1_277_lsaA	1497	15499	lsaA	99.2	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100.00	Enterococcus faecalis
Enterococcus_faecalis_3_276_efrA	1719	20334	efrA	99.3	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.48	Enterococcus faecalis
Enterococcus_faecalis_5_94_vanT_gene_in_vanG_cluster	1116	13860	vanT gene in vanG cluster	34.24	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	Enterococcus faecalis
Enterococcus_faecalis_10_17_tetM	1920	20023	tet(M)	94.05	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Enterococcus faecalis
Enterococcus_faecalis_11_8_emeA	1155	10949	emeA	97.71	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.71	Enterococcus faecalis
Enterococcus_faecalis_13_72_dfrE	495	5448	dfrE	98.78	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus faecalis
Enterococcus_faecalis_36_2_ErmB	738	15034	ErmB	98.78	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	98.79	Enterococcus faecalis
Enterococcus_faecalis_39_1_SAT4	594	17297	SAT-4	99.43	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	110.00	Enterococcus faecalis
