ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Akkermansia_muciniphila_2_length_131043_cov_8.259222_lnuC	495	125	lnuC	97.56	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)	100.00	Akkermansia muciniphila
Akkermansia_muciniphila_6_length_97773_cov_7.909689_adeF	3171	441	adeF	41.32	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.72	Akkermansia muciniphila
Bifidobacterium_breve_82_length_6160_cov_22.072072_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	1206	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.65	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium breve
Bifidobacterium_infantis_12_length_67034_cov_104.914525_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	3284	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.82	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium infantis
Bifidobacterium_infantis_76_length_1865_cov_47.177348_ErmX	855	0	ErmX	90.14	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Bifidobacterium infantis
Escherichia_coli_D_3_length_71902_cov_13.677384_mdtH	1209	584	mdtH	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_3_length_71902_cov_13.677384_mdtG	1227	513	mdtG	100.0	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_6_length_58455_cov_11.785394_acrD	3114	1320	acrD	99.9	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_9_length_44214_cov_17.038814_AcrS	663	435	AcrS	99.09	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_9_length_44214_cov_17.038814_AcrE	1158	730	AcrE	99.48	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_9_length_44214_cov_17.038814_AcrF	3105	1893	AcrF	99.42	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_12_length_40176_cov_13.345629_mdtN	1032	496	mdtN	99.13	nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_12_length_40176_cov_13.345629_mdtO	2052	1106	mdtO	98.68	nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_12_length_40176_cov_13.345629_mdtP	1467	848	mdtP	98.36	nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli D
Escherichia_coli_D_14_length_38286_cov_12.893437_acrB	3150	1729	acrB	99.9	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli D
