ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bacteroides_fragilis_4_length_377820_cov_8.093537_43_tetQ	1975	0	tet(Q)	100.0	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	97.56	Bacteroides fragilis
Bacteroides_fragilis_25_length_68192_cov_9.299837_28_cepA	903	145	cepA	100.0	cephalosporin	antibiotic inactivation	CepA beta-lactamase	100.00	Bacteroides fragilis
Bacteroides_fragilis_30_length_45497_cov_33.725870_2_tetQ	1975	0	tet(Q)	100.0	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	97.56	Bacteroides fragilis
Bacteroides_fragilis_44_length_16554_cov_16.543912_8_CfxA5	966	362	CfxA5	100.0	cephamycin	antibiotic inactivation	CfxA beta-lactamase	100.00	Bacteroides fragilis
Bacteroides_fragilis_47_length_14287_cov_8.246276_1_tetQ	1917	310	tet(Q)	89.03	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	97.11	Bacteroides fragilis
Bacteroides_fragilis_50_length_11312_cov_25.861775_12_MefEn2	1206	449	Mef(En2)	99.5	macrolide antibiotic; lincosamide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Bacteroides fragilis
Clostridium_sp001916075_45_length_10020_cov_4.454792_11_ErmT	735	57	ErmT	98.77	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Clostridium sp001916075
Escherichia_flexneri_1_length_263832_cov_16.956202_241_TolC	1489	556	TolC	100.0	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	99.60	Escherichia flexneri
Escherichia_flexneri_2_length_156879_cov_17.701180_100_Escherichia_coli_ampC_betalactamase	1134	480	Escherichia coli ampC beta-lactamase	100.0	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase	100.00	Escherichia flexneri
Escherichia_flexneri_2_length_156879_cov_17.701180_138_eptA	1644	726	eptA	100.0	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia flexneri
Escherichia_flexneri_3_length_149303_cov_14.874933_18_msbA	1749	724	msbA	100.0	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_4_length_148152_cov_16.403134_20_CRP	633	299	CRP	99.52	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_5_length_135449_cov_19.387019_80_gadX	825	517	gadX	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_5_length_135449_cov_19.387019_81_gadW	729	417	gadW	94.63	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_5_length_135449_cov_19.387019_83_mdtF	3114	1101	mdtF	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_5_length_135449_cov_19.387019_84_mdtE	1158	439	mdtE	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_6_length_129056_cov_14.689157_86_acrB	3150	1038	acrB	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_6_length_129056_cov_14.689157_87_Escherichia_coli_acrA	1194	549	Escherichia coli acrA	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_9_length_125443_cov_13.935201_17_PmrF	969	216	PmrF	100.0	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia flexneri
Escherichia_flexneri_9_length_125443_cov_13.935201_60_YojI	1644	363	YojI	100.0	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_10_length_122010_cov_13.773925_41_Escherichia_coli_mdfA	1233	307	Escherichia coli mdfA	97.07	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_12_length_118051_cov_14.716795_53_leuO	945	385	leuO	99.04	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_13_length_117752_cov_18.224271_7_AcrF	3105	1117	AcrF	100.0	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_13_length_117752_cov_18.224271_8_AcrE	1158	431	AcrE	100.0	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_13_length_117752_cov_18.224271_9_AcrS	663	342	AcrS	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_14_length_113043_cov_16.835593_7_bacA	822	265	bacA	100.0	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Escherichia flexneri
Escherichia_flexneri_15_length_106737_cov_16.607047_21_mdtN	1032	338	mdtN	100.0	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_15_length_106737_cov_16.607047_22_mdtO	2052	634	mdtO	100.0	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_15_length_106737_cov_16.607047_23_mdtP	1467	532	mdtP	100.0	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_16_length_99663_cov_14.892629_59_rsmA	186	96	rsmA	85.25	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_16_length_99663_cov_14.892629_65_emrB	1539	358	emrB	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_16_length_99663_cov_14.892629_66_emrA	1173	288	emrA	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_16_length_99663_cov_14.892629_67_emrR	531	140	emrR	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_17_length_98309_cov_13.552720_1_mdtA	1248	272	mdtA	99.76	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_17_length_98309_cov_13.552720_2_mdtB	3123	716	mdtB	99.9	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_17_length_98309_cov_13.552720_3_mdtC	3078	543	mdtC	99.9	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_20_length_87611_cov_14.204886_60_mdtH	1209	366	mdtH	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_20_length_87611_cov_14.204886_72_mdtG	1227	383	mdtG	100.0	phosphonic acid antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_24_length_68884_cov_17.407125_54_cpxA	1374	475	cpxA	100.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_33_length_45131_cov_13.389897_6_kdpE	678	162	kdpE	99.56	aminoglycoside antibiotic	antibiotic efflux	kdpDE	100.00	Escherichia flexneri
Escherichia_flexneri_34_length_44325_cov_12.361532_30_acrD	3114	834	acrD	100.0	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_35_length_42541_cov_14.147766_22_HNS	414	158	H-NS	100.0	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_37_length_41810_cov_11.635205_14_marA	384	0	marA	100.0	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Escherichia flexneri
Escherichia_flexneri_39_length_38322_cov_16.546502_5_emrY	1539	606	emrY	99.8	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_39_length_38322_cov_16.546502_7_evgA	615	227	evgA	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_39_length_38322_cov_16.546502_8_evgS	3594	1562	evgS	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_51_length_24364_cov_7.940516_30_Escherichia_coli_emrE	333	131	Escherichia coli emrE	98.18	macrolide antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_9_length_125443_cov_13.935201_41_Escherichia_coli_gyrA_conferring_resistance_to_fluoroquinolones	2628	819	Escherichia coli gyrA conferring resistance to fluoroquinolones	99.89	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	100.00	Escherichia flexneri
Escherichia_flexneri_6_length_129056_cov_14.689157_88_Escherichia_coli_AcrABTolC_with_AcrR_mutation_conferring_resistance_to_ciprofloxacin_tetracycline_and_ceftazidime	648	297	Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_15_length_106737_cov_16.607047_41_Escherichia_coli_soxR_with_mutation_conferring_antibiotic_resistance	465	182	Escherichia coli soxR with mutation conferring antibiotic resistance	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_15_length_106737_cov_16.607047_42_Escherichia_coli_soxS_with_mutation_conferring_antibiotic_resistance	324	117	Escherichia coli soxS with mutation conferring antibiotic resistance	100.0	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux; reduced permeability to antibiotic	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Escherichia flexneri
Escherichia_flexneri_17_length_98309_cov_13.552720_6_baeR	723	185	baeR	95.83	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_37_length_41810_cov_11.635205_15_Escherichia_coli_AcrABTolC_with_MarR_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline	435	0	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Phocaeicola_plebeius_39_length_8225_cov_13.183721_8_ErmF	801	235	ErmF	99.62	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Phocaeicola plebeius
NODE_242_length_52730_cov_179.152368_20_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3561	1779	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	97.89	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.00	unclassified
NODE_1455_length_12587_cov_11.550670_6_marA	384	0	marA	100.0	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	unclassified
