ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_bifidum_6_length_76145_cov_10.423722_Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin	3327	11063	Bifidobacterium bifidum ileS conferring resistance to mupirocin	96.66	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	100.09	Bifidobacterium bifidum
Bifidobacterium_kashiwanohense_A_2_length_309834_cov_205.654926_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3627	12489	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	97.64	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	101.85	Bifidobacterium kashiwanohense A
Bifidobacterium_longum_10_length_98319_cov_57.692593_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	4078	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	94.17	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium longum
Bifidobacterium_longum_22_length_42243_cov_54.051768_tetWNW	888	361	tet(W/N/W)	94.22	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	46.17	Bifidobacterium longum
Campylobacter_D_jejuni_3765_length_2835_cov_2.765827_cmeA	1104	58	cmeA	98.64	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; fusidic acid	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Campylobacter D jejuni
Campylobacter_D_jejuni_4233_length_2487_cov_2.598684_cmeC	1479	74	cmeC	99.59	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; fusidic acid	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Campylobacter D jejuni
Dialister_sp000434475_619_length_16445_cov_6.510555_ACI1	855	76	ACI-1	100.0	cephalosporin; penam; penem	antibiotic inactivation	ACI beta-lactamase	100.00	Dialister sp000434475
Escherichia_flexneri_2_length_50583_cov_3.651124_mdtE	1158	76	mdtE	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_2_length_50583_cov_3.651124_gadX	825	78	gadX	98.54	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_3_length_47435_cov_4.172752_EC14	1134	131	EC-14	98.67	cephalosporin	antibiotic inactivation	EC beta-lactamase	100.00	Escherichia flexneri
Escherichia_flexneri_12_length_29457_cov_3.365859_bacA	822	34	bacA	99.63	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Escherichia flexneri
Escherichia_flexneri_15_length_25272_cov_3.081612_evgS	3594	236	evgS	99.33	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_15_length_25272_cov_3.081612_evgA	615	52	evgA	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_15_length_25272_cov_3.081612_emrK	1164	86	emrK	99.72	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	110.26	Escherichia flexneri
Escherichia_flexneri_19_length_22673_cov_3.981121_cpxA	1374	89	cpxA	100.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_26_length_18364_cov_3.825068_AcrF	3108	194	AcrF	99.13	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.10	Escherichia flexneri
Escherichia_flexneri_26_length_18364_cov_3.825068_AcrE	1158	75	AcrE	100.0	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_27_length_18334_cov_3.385524_CRP	633	45	CRP	99.52	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_41_length_13620_cov_2.960781_mdtN	1032	70	mdtN	100.0	nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_50_length_12985_cov_3.825367_eptA	1644	138	eptA	99.63	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia flexneri
Escherichia_flexneri_51_length_12711_cov_3.559972_acrB	3150	237	acrB	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
Escherichia_flexneri_51_length_12711_cov_3.559972_Escherichia_coli_acrA	1194	82	Escherichia coli acrA	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia flexneri
