ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_breve_2_154_ErmX	855	1684	ErmX	90.14	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100	Bifidobacterium breve
Bifidobacterium_breve_8_29_Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin	3564	10999	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	92.48	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.08	Bifidobacterium breve
Corynebacterium_kefirresidentii_1_234_vanT_gene_in_vanG_cluster	1107	123	vanT gene in vanG cluster	32.96	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	51.69	Corynebacterium kefirresidentii
Corynebacterium_kefirresidentii_6_58_vanW_gene_in_vanI_cluster	1689	181	vanW gene in vanI cluster	32.91	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	150.67	Corynebacterium kefirresidentii
Enterobacter_ludwigii_1_17_Klebsiella_pneumoniae_KpnE	393	1106	Klebsiella pneumoniae KpnE	85	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	108.33	Enterobacter ludwigii
Enterobacter_ludwigii_1_18_Klebsiella_pneumoniae_KpnF	330	696	Klebsiella pneumoniae KpnF	88.99	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_1_204_marA	381	371	marA	93.55	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	99.21	Enterobacter ludwigii
Enterobacter_ludwigii_2_150_FosA2	426	42	FosA2	99.29	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	100	Enterobacter ludwigii
Enterobacter_ludwigii_3_95_ramA	342	558	ramA	97.35	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	91.13	Enterobacter ludwigii
Enterobacter_ludwigii_3_165_acrB	3147	21508	acrB	92.85	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.9	Enterobacter ludwigii
