ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Enterobacter_ludwigii_1_59_marA	381	2090	marA	93.55	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	99.21	Enterobacter ludwigii
Enterobacter_ludwigii_1_805_mdtB	3123	15786	mdtB	90	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_1_806_mdtC	3078	15466	mdtC	91.41	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_1_809_baeR	723	3984	baeR	95.42	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_2_235_bacA	822	4261	bacA	94.14	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100	Enterobacter ludwigii
Enterobacter_ludwigii_2_550_rsmA	186	1080	rsmA	85.25	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_2_557_Klebsiella_pneumoniae_KpnH	1548	8781	Klebsiella pneumoniae KpnH	92.08	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.59	Enterobacter ludwigii
Enterobacter_ludwigii_2_558_emrA	1173	6892	emrA	85.9	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_2_559_emrR	531	3287	emrR	94.29	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_3_30_Klebsiella_pneumoniae_KpnF	330	1757	Klebsiella pneumoniae KpnF	88.99	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_3_31_Klebsiella_pneumoniae_KpnE	393	1953	Klebsiella pneumoniae KpnE	84.17	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	108.33	Enterobacter ludwigii
Enterobacter_ludwigii_3_501_msbA	1749	8420	msbA	94.67	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_4_195_oqxB	3153	16029	oqxB	96.95	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_4_196_oqxA	1176	6230	oqxA	91.05	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100	Enterobacter ludwigii
Enterobacter_ludwigii_4_213_ramA	342	2465	ramA	97.35	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	91.13	Enterobacter ludwigii
Enterobacter_ludwigii_4_327_acrB	3147	18741	acrB	92.85	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.9	Enterobacter ludwigii
Enterobacter_ludwigii_4_422_vanG	1101	6137	vanG	39.89	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.87	Enterobacter ludwigii
Enterobacter_ludwigii_5_284_FosA2	426	2549	FosA2	99.29	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	100	Enterobacter ludwigii
