ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Enterococcus_faecalis_1_26_emeA	1155	8719	emeA	97.71	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.71	Enterococcus faecalis
Enterococcus_faecalis_1_452_dfrE	495	4356	dfrE	98.78	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus faecalis
Enterococcus_faecalis_2_201_vanT_gene_in_vanG_cluster	1116	10983	vanT gene in vanG cluster	34.24	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	Enterococcus faecalis
Enterococcus_faecalis_3_108_lsaA	1497	12357	lsaA	99.4	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100.00	Enterococcus faecalis
Enterococcus_faecalis_6_302_efrA	1719	15941	efrA	99.3	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.48	Enterococcus faecalis
Enterococcus_faecalis_60_31_qacG	378	8923	qacG	59.81	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	116.82	Enterococcus faecalis
Pantoea_septica_1_272_qacG	330	158	qacG	46.23	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	101.87	Pantoea septica
Pantoea_septica_1_335_adeF	3153	1509	adeF	59.96	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.15	Pantoea septica
Pantoea_septica_2_21_rsmA	186	61	rsmA	85.25	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Pantoea septica
Pantoea_septica_4_65_Klebsiella_pneumoniae_KpnF	330	149	Klebsiella pneumoniae KpnF	74.31	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Pantoea septica
Pantoea_septica_11_89_msbA	1695	1105	msbA	88.45	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	96.91	Pantoea septica
Pantoea_septica_12_114_CRP	633	341	CRP	99.05	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Pantoea septica
Pantoea_septica_16_40_adeF	3156	1919	adeF	41.23	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.24	Pantoea septica
Pantoea_septica_18_75_emrR	531	265	emrR	81.29	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Pantoea septica
