ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Rothia_38_length_13085_cov_6.840906_5_ErmX	855	160	ErmX	90.14	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Rothia
Streptococcus_sp000187445_1_length_335529_cov_220.462200_140_tetM	1920	8268	tet(M)	98.9	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_2009_length_3281_cov_231.272164_1_msrE	1476	5539	msrE	100.0	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection	msr-type ABC-F protein	100.00	Streptococcus sp000187445
Streptococcus_sp000187445_2009_length_3281_cov_231.272164_2_mphE	885	3190	mphE	100.0	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	100.00	Streptococcus sp000187445
NODE_28_length_105194_cov_96.637138_79_ugd	1167	1639	ugd	99.23	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	unclassified
NODE_32_length_90908_cov_133.366328_47_acrD	3114	0	acrD	100.0	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_39_length_85472_cov_193.397602_90_cpxA	1374	0	cpxA	100.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_41_length_83364_cov_183.744589_41_leuO	945	0	leuO	100.0	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_46_length_77164_cov_184.397995_73_mdtE	1158	0	mdtE	99.74	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_46_length_77164_cov_184.397995_74_mdtF	3114	0	mdtF	99.61	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_46_length_77164_cov_184.397995_76_gadW	729	3585	gadW	99.59	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_46_length_77164_cov_184.397995_77_gadX	825	1720	gadX	95.62	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_65_length_59643_cov_181.021984_10_mdtP	1467	0	mdtP	97.95	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_65_length_59643_cov_181.021984_47_eptA	1644	2641	eptA	97.07	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	unclassified
NODE_77_length_49528_cov_182.915550_1_leuO	945	0	leuO	100.0	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_79_length_49154_cov_110.427544_12_mdtA	1248	2529	mdtA	99.04	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_79_length_49154_cov_110.427544_13_mdtB	3123	5630	mdtB	99.81	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_79_length_49154_cov_110.427544_14_mdtC	3060	5627	mdtC	99.61	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.41	unclassified
NODE_87_length_45790_cov_159.753974_19_acrB	3150	8977	acrB	100.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_87_length_45790_cov_159.753974_20_Escherichia_coli_acrA	1194	4109	Escherichia coli acrA	99.75	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_90_length_45003_cov_133.303217_25_Escherichia_coli_mdfA	1233	0	Escherichia coli mdfA	96.83	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_97_length_42500_cov_136.421816_36_kdpE	678	441	kdpE	99.56	aminoglycoside antibiotic	antibiotic efflux	kdpDE	100.00	unclassified
NODE_102_length_40716_cov_157.393301_7_emrY	1539	0	emrY	99.22	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_102_length_40716_cov_157.393301_9_evgA	615	0	evgA	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_102_length_40716_cov_157.393301_10_evgS	3594	1076	evgS	97.41	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_108_length_38927_cov_141.937616_6_mdtM	1233	0	mdtM	97.32	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_116_length_37341_cov_133.934158_11_mdtG	1227	3028	mdtG	99.75	phosphonic acid antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_116_length_37341_cov_133.934158_23_mdtH	1209	2645	mdtH	99.75	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_117_length_36492_cov_121.542718_2_PmrF	969	1150	PmrF	99.69	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	unclassified
NODE_123_length_35147_cov_125.118688_5_emrB	1539	259	emrB	99.8	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_123_length_35147_cov_125.118688_6_emrA	1173	0	emrA	99.74	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_123_length_35147_cov_125.118688_7_emrR	531	0	emrR	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_145_length_30481_cov_136.232334_6_kdpE	678	449	kdpE	100.0	aminoglycoside antibiotic	antibiotic efflux	kdpDE	100.00	unclassified
NODE_147_length_30277_cov_156.973761_10_evgS	3594	1020	evgS	96.99	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_147_length_30277_cov_156.973761_11_evgA	615	0	evgA	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_147_length_30277_cov_156.973761_13_emrY	1539	0	emrY	99.22	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_157_length_28872_cov_164.809383_3_mdtP	1467	0	mdtP	97.95	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_157_length_28872_cov_164.809383_6_mdtN	1032	3330	mdtN	98.83	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_163_length_28494_cov_200.347973_21_CRP	633	2779	CRP	99.52	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_173_length_26720_cov_147.653178_2_YojI	1644	3309	YojI	99.63	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	unclassified
NODE_175_length_26391_cov_206.621241_15_eptA	1644	2088	eptA	100.0	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	unclassified
NODE_223_length_21767_cov_138.847319_14_Escherichia_coli_mdfA	1233	0	Escherichia coli mdfA	96.83	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_232_length_21395_cov_132.276710_10_msbA	1749	0	msbA	99.66	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	unclassified
NODE_236_length_20977_cov_200.496941_9_cpxA	1374	0	cpxA	100.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_257_length_19553_cov_127.575649_16_marA	384	895	marA	99.21	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	unclassified
NODE_282_length_17958_cov_173.710663_10_bacA	822	2541	bacA	99.63	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	unclassified
NODE_316_length_16214_cov_235.845844_8_mdtE	1158	0	mdtE	99.74	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_316_length_16214_cov_235.845844_9_mdtF	3114	0	mdtF	99.61	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_316_length_16214_cov_235.845844_12_gadX	825	1566	gadX	97.45	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_392_length_13742_cov_3.214218_12_eptB	1692	1472	eptB	90.07	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	98.08	unclassified
NODE_435_length_12407_cov_134.711302_2_msbA	1749	0	msbA	99.66	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	unclassified
NODE_477_length_11336_cov_140.549331_5_QnrS1	657	1648	QnrS1	100.0	fluoroquinolone antibiotic	antibiotic target protection	quinolone resistance protein (qnr)	100.00	unclassified
NODE_492_length_11003_cov_3.258860_4_ArnT	1656	277	ArnT	89.29	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	unclassified
NODE_529_length_10200_cov_223.126663_2_AcrE	1158	0	AcrE	98.96	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_529_length_10200_cov_223.126663_3_AcrF	3105	11559	AcrF	99.52	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_582_length_9421_cov_164.448430_8_DHA1	1140	3171	DHA-1	100.0	cephalosporin; cephamycin	antibiotic inactivation	DHA beta-lactamase	100.00	unclassified
NODE_582_length_9421_cov_164.448430_11_sul1	840	1151	sul1	100.0	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	100.00	unclassified
NODE_584_length_9407_cov_68.585222_1_sul2	816	1230	sul2	100.0	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	100.00	unclassified
NODE_584_length_9407_cov_68.585222_2_APH3Ib	804	1609	APH(3'')-Ib	99.63	aminoglycoside antibiotic	antibiotic inactivation	APH(3'')	100.00	unclassified
NODE_584_length_9407_cov_68.585222_3_APH6Id	837	2039	APH(6)-Id	99.64	aminoglycoside antibiotic	antibiotic inactivation	APH(6)	100.00	unclassified
NODE_584_length_9407_cov_68.585222_6_tet59	1203	476	tet(59)	99.25	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_620_length_8910_cov_157.797177_2_emrB	1539	263	emrB	99.8	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_620_length_8910_cov_157.797177_3_emrA	1173	0	emrA	99.74	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_620_length_8910_cov_157.797177_4_emrR	531	0	emrR	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
