ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Enterobacter_cloacae_1_length_127810_cov_14.915635_20_ramA	375	101	ramA	99.19	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Enterobacter cloacae
Enterobacter_cloacae_1_length_127810_cov_14.915635_102_Shigella_flexneri_acrA	1194	513	Shigella flexneri acrA	86.15	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter cloacae
Enterobacter_cloacae_1_length_127810_cov_14.915635_103_acrB	3147	1474	acrB	93.14	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.90	Enterobacter cloacae
Enterobacter_cloacae_7_length_82801_cov_20.429966_22_CMH2	1146	415	CMH-2	99.21	cephalosporin	antibiotic inactivation	CMH beta-lactamase	100.00	Enterobacter cloacae
Enterobacter_cloacae_10_length_72331_cov_15.836460_48_mdtB	3123	700	mdtB	89.62	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter cloacae
Enterobacter_cloacae_10_length_72331_cov_15.836460_49_mdtC	3078	642	mdtC	91.89	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter cloacae
Enterobacter_cloacae_20_length_61251_cov_19.569400_27_CRP	633	298	CRP	99.05	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter cloacae
Enterobacter_cloacae_24_length_55206_cov_14.831426_10_msbA	1749	643	msbA	94.16	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Enterobacter cloacae
Enterobacter_cloacae_30_length_45243_cov_18.686797_15_bacA	822	357	bacA	95.24	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Enterobacter cloacae
Enterobacter_cloacae_32_length_41493_cov_17.021961_34_emrR	531	238	emrR	91.43	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter cloacae
Enterobacter_cloacae_32_length_41493_cov_17.021961_35_emrA	1173	395	emrA	86.41	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterobacter cloacae
Enterobacter_cloacae_34_length_38073_cov_18.558472_31_acrD	3114	1101	acrD	91.13	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter cloacae
Enterobacter_cloacae_41_length_30483_cov_38.990995_27_Escherichia_coli_EFTu_mutants_conferring_resistance_to_Pulvomycin	1185	1794	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	99.49	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	96.33	Enterobacter cloacae
Enterobacter_cloacae_52_length_17223_cov_18.415308_14_Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin	1392	3155	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	93.74	phosphonic acid antibiotic	antibiotic target alteration	antibiotic-resistant UhpT	100.00	Enterobacter cloacae
Enterobacter_cloacae_10_length_72331_cov_15.836460_51_baeS	1404	904	baeS	99.79	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter cloacae
