ARG	ORF_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Bifidobacterium_infantis_30_length_72867_cov_111.768939_37_tetW	1920	5257	tet(W)	99.84	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Bifidobacterium infantis
Bifidobacterium_infantis_508_length_6156_cov_1354.510900_1_mphA	906	17870	mphA	100.0	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	100.00	Bifidobacterium infantis
Bifidobacterium_infantis_508_length_6156_cov_1354.510900_2_Mrx	1239	17450	Mrx	100.0	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	100.00	Bifidobacterium infantis
Bifidobacterium_infantis_508_length_6156_cov_1354.510900_7_TEM1	861	28139	TEM-1	100.0	monobactam; cephalosporin; penam; penem	antibiotic inactivation	TEM beta-lactamase	100.00	Bifidobacterium infantis
Bifidobacterium_infantis_535_length_5429_cov_423.672311_2_ErmX	855	8012	ErmX	90.14	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	Bifidobacterium infantis
Bifidobacterium_infantis_569_length_4601_cov_265.439727_3_tetA	1200	4675	tet(A)	98.48	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	94.10	Bifidobacterium infantis
Streptococcus_sp000187445_13_length_66788_cov_84.078507_23_tetM	1920	3635	tet(M)	98.9	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Streptococcus sp000187445
NODE_9_length_93470_cov_163.272301_67_TolC	1489	373	TolC	100.0	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	99.60	unclassified
NODE_12_length_91360_cov_174.210908_71_CRP	633	0	CRP	99.52	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_14_length_89029_cov_161.136782_70_CRP	633	0	CRP	99.52	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_27_length_75776_cov_186.526578_35_gadX	825	4803	gadX	95.99	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_27_length_75776_cov_186.526578_36_gadW	729	3263	gadW	95.45	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_27_length_75776_cov_186.526578_38_mdtF	3114	8899	mdtF	99.9	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_27_length_75776_cov_186.526578_39_mdtE	1158	3558	mdtE	99.74	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	unclassified
NODE_33_length_69167_cov_148.095106_39_mdtM	1233	3379	mdtM	97.8	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
NODE_47_length_58367_cov_117.928900_42_ugd	1167	2226	ugd	99.23	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	unclassified
NODE_59_length_53796_cov_148.607897_44_emrY	1539	2124	emrY	100.0	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	unclassified
